GPK93_08g12860	DUF1609 domain-containing protein
GPK93_08g12870	glutamyl aminopeptidase
GPK93_08g12880	dihydrofolate reductase
GPK93_08g12890	thymidylate synthase
GPK93_08g12900	serine-glycine hydroxymethyltransferase
GPK93_08g12910	ABC transporter
GPK93_08g12920	nucleosome assembly protein
GPK93_08g12930	hypothetical protein
GPK93_08g12940	sterolin-1
GPK93_08g12950	hypothetical protein
GPK93_08g12960	DNA polymerase sliding clamp 2
GPK93_08g12970	putative Sm-like small nuclear ribonucleoprotein
GPK93_08g12980	hypothetical protein
GPK93_08g12990	hypothetical protein
GPK93_08g13000	ap-2 complex subunit sigma
GPK93_08g13010	Ca2+-binding protein
GPK93_08g13020	general vesicular transport factor
GPK93_08g13030	abhydrolase domain-containing protein
GPK93_08g13040	aminomethyltransferase
GPK93_08g13050	checkpoint protein Hus1
GPK93_08g13060	WD40 domain-containing protein
GPK93_08g13070	tRNA-Glu
GPK93_08g13080	serine/threonine-protein kinase pak 4
GPK93_08g13090	ribosome biogenesis gtpase A
GPK93_08g13100	vacuolar H+-ATPase V1 sector subunit H
GPK93_08g13110	G2/mitotic specific cyclin 2
GPK93_08g13120	hypothetical protein
GPK93_08g13130	hypothetical protein
GPK93_08g13140	proteasome subunit beta type-4
GPK93_08g13150	minichromosome maintenance protein
GPK93_08g13160	N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase
GPK93_08g13170	WD40 domain-containing protein
GPK93_08g13180	DNA-directed RNA polymerases I, II, and III subunit RPABC2
GPK93_08g13190	ATP synthase subunit H
GPK93_08g13200	ribosome biogenesis GTPase A
GPK93_08g13210	ap-complex subunit mu-1
GPK93_08g13220	ribosomal protein uS19
GPK93_08g13230	hypothetical protein
GPK93_08g13240	ribosomal protein uL24
GPK93_08g13250	heterogeneous nuclear ribonucleoprotein A1
GPK93_08g13260	Hit-like hydrolase
GPK93_08g13270	NOL1/NOP2/sun-like protein
GPK93_08g13280	histone H2B
GPK93_08g13290	hypothetical protein
GPK93_08g13300	hypothetical protein
GPK93_08g13310	transcription factor Iws1
GPK93_08g13320	hypothetical protein
GPK93_08g13330	Myb-like protein
GPK93_08g13340	E3 sumo-protein ligase RANBP2
GPK93_08g13350	hypothetical protein
GPK93_08g13360	cysteinyl-tRNA synthetase
GPK93_08g13370	hypothetical protein
GPK93_08g13380	hypothetical protein
GPK93_08g13390	glucanase
GPK93_08g13400	RRM domain-containing protein
GPK93_08g13410	sulfate transporter protein
GPK93_08g13420	hypothetical protein
GPK93_08g13430	small nuclear Sm-like ribonucleoprotein
GPK93_08g13440	arginyl-tRNA synthetase
GPK93_08g13460	hypothetical protein
GPK93_08g13470	DUF572 domain-containing protein
GPK93_08g13480	tRNA-Cys
GPK93_08g13490	hypothetical protein
GPK93_08g13500	hypothetical protein
GPK93_08g13510	protein transport protein TIP20
GPK93_08g13520	ribosomal protein L18A
GPK93_08g13530	CAPG-like protein
GPK93_08g13540	hypothetical protein
GPK93_08g13550	DNA primase small subunit
GPK93_08g13560	putative hexose phosphate translocator
GPK93_08g13570	DNA-directed RNA polymerase subunit
GPK93_08g13580	hypothetical protein
GPK93_08g13590	putative suppressor of tubulin
GPK93_08g13600	tRNA-Arg
GPK93_08g13610	gamma-tubulin
GPK93_08g13620	coatmer subunit zeta
GPK93_08g13630	mRNA export factor
GPK93_08g13640	Rer1-like protein
GPK93_08g13650	hypothetical protein
GPK93_08g13660	DUF5092 domain-containing protein
GPK93_08g13670	Ras-related protein Rab-26
GPK93_08g13680	MinD ATPase
GPK93_08g13690	hypothetical protein
GPK93_08g13700	melanoma differentiation associated protein-like protein
GPK93_08g13710	DNA-directed RNA polymerase II fourth largest subunit
GPK93_08g13720	8-oxoguanine DNA glycosylase
GPK93_08g13730	insulin-like growth factor 2 mRNA-binding protein 1
GPK93_08g13740	DUF5092 domain-containing protein
GPK93_08g13750	signal recognition particle Srp19
GPK93_08g13760	VCX1-like calcium ion transporter
GPK93_08g13770	ribosomal protein L4
GPK93_08g13780	hypothetical protein
GPK93_08g13790	CCR4-NOT transcription complex subunit 7
GPK93_08g13800	ubiquitin-conjugating enzyme E2
GPK93_08g13810	ribosomal protein S4
GPK93_08g13820	endonuclease III
GPK93_08g13830	kinesin-like protein
GPK93_08g13840	eukaryotic translation initiation factor 4E
GPK93_08g13850	hypothetical protein
GPK93_08g13860	hypothetical protein
GPK93_08g13870	cGMP-dependent protein kinase
GPK93_08g13880	tRNA-Val
GPK93_08g13890	tRNA-Tyr
GPK93_08g13900	hypothetical protein
GPK93_08g13910	hypothetical protein
GPK93_08g13920	hypothetical protein
GPK93_08g13930	hypothetical protein
GPK93_08g13940	hypothetical protein
GPK93_08g13950	heat shock transcription factor
GPK93_08g13960	hypothetical protein
GPK93_08g13970	PHF5-like protein
GPK93_08g13980	hypothetical protein
GPK93_08g13990	hypothetical protein
GPK93_08g14000	Spc7 kinetochore protein
GPK93_08g14010	hypothetical protein
GPK93_08g14020	hypothetical protein
GPK93_08g14030	hypothetical protein
GPK93_08g14040	ribosomal protein S25
GPK93_08g14050	ribosomal protein S15
GPK93_08g14060	hypothetical protein
GPK93_08g14070	ribosomal protein S25
GPK93_08g14080	DEAD/DEAH box helicase
GPK93_08g14090	Elongator complex protein 3
GPK93_08g14100	coatomer complex subunit beta
GPK93_08g14110	WD40 domain-containing protein
GPK93_08g14120	Rad3/XPD DNA repair helicase
GPK93_08g14130	putative U3 small nucleolar ribonucleoprotein
GPK93_08g14140	hypothetical protein
GPK93_08g14150	7B-hydroxysteroid dehydrogenase
GPK93_08g14160	ribosomal protein L14
GPK93_08g14170	hypothetical protein
GPK93_08g14180	multifunctional methyltransferase subunit TRM112
GPK93_08g14190	WD40 domain-containing protein
GPK93_08g14200	ribonuclease P/MRP protein subunit RPP1
GPK93_08g14210	ribonuclease P/MRP protein subunit RPP1
GPK93_08g14220	hypothetical protein
GPK93_08g14230	hypothetical protein
GPK93_08g14240	serine/threonine protein kinase TAO2
GPK93_08g14250	hypothetical protein
GPK93_08g14260	coatomer subunit beta prime
GPK93_08g14270	WD40 domain-containing protein
GPK93_08g14280	ribosome-interacting gtpase 1
GPK93_08g14290	hypothetical protein
GPK93_08g14300	geranylgeranyl transferase subunit beta
GPK93_08g14310	vacuolar membrane proton pump
GPK93_08g14320	hypothetical protein
GPK93_08g14330	DNA-directed RNA polymerase I subunit RPA12
GPK93_08g14340	UDP-N-acetylglucosamine--peptide N- acetylglucosaminyltransferase
GPK93_08g14350	TLC domain-containing protein
GPK93_08g14360	putative acetyl-transferase
GPK93_08g14370	glutaredoxin-2
GPK93_08g14380	glutaredoxin-2
GPK93_08g14390	GATA zinc finger domain-containing protein
GPK93_08g14400	RING-type domain-containing protein
GPK93_08g14410	phosphoinositide polyphosphatase
GPK93_08g14420	telomere length regulation protein TEN1
GPK93_08g14430	palmitoyltransferase
GPK93_08g14440	putative vacuolar membrane proton pump
GPK93_08g14450	hypothetical protein
GPK93_08g14460	tRNA (guanine(26)-N(2))-dimethyltransferase
GPK93_08g14470	hypothetical protein
GPK93_08g14480	5'-AMP-activated protein kinase catalytic subunit alpha-1
GPK93_08g14490	hypothetical protein
GPK93_08g14500	palmitoyltransferase
GPK93_08g14510	ribosome biogenesis regulatory protein
GPK93_08g14520	v-type proton ATPase subunit d
GPK93_08g14530	hypothetical protein
GPK93_08g14540	hypothetical protein
GPK93_08g14550	hypothetical protein
GPK93_08g14560	Nop10p-like RNA-binding protein
GPK93_08g14570	bromodomain-containing protein
GPK93_08g14580	ribosomal protein L16
GPK93_08g14590	proteasome sububit alpha
GPK93_08g14600	hypothetical protein
GPK93_08g14610	hypothetical protein
GPK93_08g14620	Shwachman-Bodian-Diamond syndrome (SBDS) protein
GPK93_08g14630	calcium/calmodulin dependent protein kinase II
GPK93_08g14640	hypothetical protein
GPK93_08g14650	transcription initiation factor tfiid subunit 1
GPK93_08g14660	hypothetical protein
GPK93_08g14670	transcription elongation factor Spt4
GPK93_08g14680	hypothetical protein
GPK93_08g14690	aminoglycoside antibiotic sensitivity protein 3
GPK93_08g14700	putative Arf GTPase activating protein
GPK93_08g14710	hypothetical protein
GPK93_08g14720	ricin B-type lectin domain-containing protein
GPK93_08g14730	hypothetical protein
GPK93_08g14740	hypothetical protein
GPK93_08g14750	hypothetical protein
GPK93_08g14760	RNA polymerase III transcription factor IIIC subunit
GPK93_08g14770	ribosomal protein L6
GPK93_08g14780	mitogen-activated protein kinase 7
GPK93_08g14790	hypothetical protein
GPK93_08g14800	Nse4 C-terminal domain-containing protein
GPK93_08g14810	tubulin binding cofactor C
GPK93_08g14820	diphthamide synthase
GPK93_08g14830	glucose-6-phosphate-1-dehydrogenase
GPK93_08g14840	methyltransferase-like protein 5
GPK93_08g14850	tRNA-Thr
GPK93_08g14860	proteasome subunit beta type-5
GPK93_08g14870	putative importin
GPK93_08g14880	hypothetical protein
GPK93_08g14890	hypothetical protein
GPK93_08g14900	midasin
GPK93_08g14910	ribosomal protein L23
GPK93_08g14920	tRNA-Asn
GPK93_08g14930	hypothetical protein
GPK93_08g14940	vacuolar ATP synthase subunit D
GPK93_08g14950	proteasome subunit 6B
GPK93_08g14960	casein kinase II subunit alpha
GPK93_08g14970	hypothetical protein
GPK93_08g14980	ARF GTP-binding ADP ribosylation factor
GPK93_08g14990	hypothetical protein
GPK93_08g15000	no match found
GPK93_08g15010	ribosomal protein L29
GPK93_08g15020	Sm-like protein
GPK93_08g15030	Maf1 regulator
GPK93_08g15040	hypothetical protein
GPK93_08g15050	DUF2463 domain-containing protein
GPK93_08g15060	hypothetical protein
GPK93_08g15070	LidA-like protein
GPK93_08g15080	DUF2463 domain-containing protein
GPK93_08g15090	hypothetical protein
GPK93_08g15100	small subunit ribosomal RNA
GPK93_08g15110	large subunit ribosomal RNA
GPK93_09g15120	large subunit ribosomal RNA
GPK93_09g15130	small subunit ribosomal RNA
GPK93_09g15140	hypothetical protein
GPK93_09g15150	DUF2463 domain-containing protein
GPK93_09g15160	DUF2463 domain-containing protein
GPK93_09g15170	DUF1609 domain-containing protein
GPK93_09g15180	leucine rich repeat domain-containing protein
GPK93_09g15190	hypothetical protein
GPK93_09g15200	hypothetical protein
GPK93_09g15210	putative membrane protein
GPK93_09g15220	translation initiation factor IF-2P
GPK93_09g15230	hypothetical protein
GPK93_09g15240	transcription initiation factor TFIID subunit 2
GPK93_09g15250	RING finger domain-containing protein
GPK93_09g15260	hypothetical protein
GPK93_09g15270	hypothetical protein
GPK93_09g15280	preprotein translocase SecY subunit
GPK93_09g15290	tRNA N6-adenosine threonylcarbamoyltransferase
GPK93_09g15300	pre-mRNA-splicing factor RNA helicase
GPK93_09g15310	hypothetical protein
GPK93_09g15320	Ras-related protein Rab-26
GPK93_09g15330	cytoplasmic export protein
GPK93_09g15340	leucine-rich repeat domain-containing protein
GPK93_09g15350	leucine-rich repeat domain-containing protein
GPK93_09g15360	hypothetical protein
GPK93_09g15370	cell division control protein 6
GPK93_09g15380	DHHC palmitoyltransferase
GPK93_09g15390	DUF5095 domain-containing protein
GPK93_09g15400	DNA-directed RNA polymerase III subunit RPC3
GPK93_09g15410	DUF5087 domain-containing protein
GPK93_09g15420	TAF4 transcription initiation factor TFIID component
GPK93_09g15430	hypothetical protein
GPK93_09g15440	DUF5096 domain-containing protein
GPK93_09g15450	calponin domain-containing protein
GPK93_09g15460	RhoGAP domain-containing protein
GPK93_09g15470	telomerase reverse transcriptase
GPK93_09g15480	hypothetical protein
GPK93_09g15490	Proteasome regulatory subunit alpha-3
GPK93_09g15500	RING zinc finger domain-containing protein
GPK93_09g15510	nucleolar complex-associated protein 3
GPK93_09g15520	hypothetical protein
GPK93_09g15530	putative RNA-binding protein NOB1
GPK93_09g15540	hypothetical protein
GPK93_09g15550	NUC153 domain-containing protein
GPK93_09g15560	ribosomal protein L39
GPK93_09g15570	mRNA capping enzyme subunit alpha
GPK93_09g15580	5S ribosomal RNA
GPK93_09g15590	Rad54-like helicase
GPK93_09g15600	hypothetical protein
GPK93_09g15610	putative amyloid precursor-like protein
GPK93_09g15620	DNA polymerase delta subunit
GPK93_09g15630	histone H4
GPK93_09g15640	histone H3
GPK93_09g15650	leucine repeat-rich domain-containing protein
GPK93_09g15660	hypothetical protein
GPK93_09g15670	hypothetical protein
GPK93_09g15680	T complex protein 1 delta subunit
GPK93_09g15690	nuclear pore protein NIC96
GPK93_09g15700	hypothetical protein
GPK93_09g15710	hypothetical protein
GPK93_09g15720	Noc2p-like protein
GPK93_09g15730	DUF5097 domain-containing protein
GPK93_09g15740	putative membrane protein
GPK93_09g15750	hypothetical protein
GPK93_09g15760	DUF1686 domain-containing protein
GPK93_09g15770	hypothetical protein
GPK93_09g15780	hypothetical protein
GPK93_09g15790	hypothetical protein
GPK93_09g15800	putative U-BOX domain-containing protein
GPK93_09g15810	RNAse P component 2
GPK93_09g15820	pyruvate kinase
GPK93_09g15830	hypothetical protein
GPK93_09g15840	Arv1-like protein
GPK93_09g15850	histone deacetylase 1
GPK93_09g15860	La domain-containing protein
GPK93_09g15870	permuted papain fold peptidase PPPDE1
GPK93_09g15880	WW domain-containing protein
GPK93_09g15890	putative integral membrane metal-binding protein
GPK93_09g15900	proteasome subunit beta type-7
GPK93_09g15910	AntI lyase-like protein
GPK93_09g15920	ZIP zinc transporter
GPK93_09g15930	hypothetical protein
GPK93_09g15940	5-3 exoribonuclease
GPK93_09g15950	DNA polymerase delta regulatory subunit B
GPK93_09g15960	hypothetical protein
GPK93_09g15970	cGMP-dependent 3',5'-cyclic phosphodiesterase
GPK93_09g15980	hypothetical protein
GPK93_09g15990	ribosome-releasing factor 2-like protein
GPK93_09g16000	septin
GPK93_09g16010	exosome RNA binding protein RRP41
GPK93_09g16020	cyclin-T1
GPK93_09g16030	transcription elongation factor 1
GPK93_09g16040	hypothetical protein
GPK93_09g16050	molybdopterin biosynthesis moeb protein
GPK93_09g16060	anaphase-promoting complex subunit 7
GPK93_09g16070	putative transportin
GPK93_09g16080	hypothetical protein
GPK93_09g16090	hypothetical protein
GPK93_09g16100	deoxyhypusine synthase
GPK93_09g16110	tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase
GPK93_09g16120	Yos1-like protein
GPK93_09g16130	DNA repair and recombination protein RAD52
GPK93_09g16140	Got1/Sft2-like protein
GPK93_09g16150	hypothetical protein
GPK93_09g16160	hypothetical protein
GPK93_09g16170	signal peptidase subunit
GPK93_09g16180	homeodomain-containing protein
GPK93_09g16190	serine/theonine protein phosphatase PP2A-alpha
GPK93_09g16200	hypothetical protein
GPK93_09g16210	ribosomal protein L3
GPK93_09g16220	CSL zinc finger domain-containing protein
GPK93_09g16230	DRG-like protein
GPK93_09g16240	putative double-strand recombination repair-like protein
GPK93_09g16250	G2/mitotic-specific cyclin-3
GPK93_09g16260	pyruvate dehydrogenase E1 component subunit alpha
GPK93_09g16270	hypothetical protein
GPK93_09g16280	hypothetical protein
GPK93_09g16290	asparaginyl endopeptidase 1
GPK93_09g16300	hypothetical protein
GPK93_09g16310	hypothetical protein
GPK93_09g16320	RWD domain-containing protein
GPK93_09g16330	DUF1686 domain-containing protein
GPK93_09g16340	hypothetical protein
GPK93_09g16350	putative integral membrane protein
GPK93_09g16360	mannose-specific lectin ERGIC-53
GPK93_09g16370	DUF5097 domain-containing protein
GPK93_09g16380	autophagy protein Apg9
GPK93_09g16390	rRNA aminocarboxypropyltransferase
GPK93_09g16400	RNA helicase
GPK93_09g16410	tRNA methyltransferase
GPK93_09g16420	protein phosphatase
GPK93_09g16430	hypothetical protein
GPK93_09g16440	RRM domain-containing protein
GPK93_09g16450	hypothetical protein
GPK93_09g16460	Ras-related protein Rab-13
GPK93_09g16470	phospholipid-translocating P-type ATPase
GPK93_09g16480	leucine-rich repeat domain-containing protein
GPK93_09g16490	splicing factor U2AF 23
GPK93_09g16500	hypothetical protein
GPK93_09g16510	Rho-type GTPase activating protein 20
GPK93_09g16520	tRNA-Arg
GPK93_09g16530	RuvB-like protein 1
GPK93_09g16540	ribosomal export protein NMD3
GPK93_09g16550	glutaredoxin
GPK93_09g16560	elongation factor P
GPK93_09g16570	DNA replication licensing factor MCM7
GPK93_09g16580	ribosomal protein S8
GPK93_09g16590	hypothetical protein
GPK93_09g16600	DNA replication factor C small subunit
GPK93_09g16610	endochitinase
GPK93_09g16620	histone acetyltransferase
GPK93_09g16630	hypothetical protein
GPK93_09g16640	hypothetical protein
GPK93_09g16650	hypothetical protein
GPK93_09g16660	ribosomal protein S28
GPK93_09g16670	nucleoporin Gle1
GPK93_09g16680	ser/thr protein kinase RIO2
GPK93_09g16690	hypothetical protein
GPK93_09g16700	ribosomal protein S3
GPK93_09g16710	putative exosome complex component Rrp40
GPK93_09g16720	hypothetical protein
GPK93_09g16730	calmodulin
GPK93_09g16740	glycosyltransferase
GPK93_09g16750	DEAD box RNA helicase
GPK93_09g16760	hypothetical protein
GPK93_09g16770	transmembrane amino acid transporter protein
GPK93_09g16780	TPR repeat domain-containing protein
GPK93_09g16800	Per1-like protein
GPK93_09g16810	DUF1686 domain-containing protein
GPK93_09g16820	thioredoxin
GPK93_09g16830	hypothetical protein
GPK93_09g16840	centriole-like protein
GPK93_09g16850	protein transport protein Yif1
GPK93_09g16860	nucleolar protein 56
GPK93_09g16870	tRNA threonylcarbamoyl adenosine modification protein
GPK93_09g16880	transcription factor IIH subunit 5
GPK93_09g16890	DNA repair protein RAD2
GPK93_09g16900	hypothetical protein
GPK93_09g16910	pre-mRNA splicing RNA helicase
GPK93_09g16920	nucleolar GTP-binding protein 2
GPK93_09g16930	hypothetical protein
GPK93_09g16940	hypothetical protein
GPK93_09g16950	putative importin
GPK93_09g16960	asparagine-tRNA ligase
GPK93_09g16970	kinetochore Nuf2-like protein
GPK93_09g16980	hypothetical protein
GPK93_09g16990	VID27 C-terminal WD40-like domain-containing protein
GPK93_09g17000	NADPH-dependent cytochrome P450 reductase
GPK93_09g17010	hypothetical protein
GPK93_09g17020	RNA polymerase II accessory factor
GPK93_09g17030	PFU domain-containing protein
GPK93_09g17040	histone-lysine N-methyltransferase EZH2
GPK93_09g17050	hypothetical protein
GPK93_09g17060	hypothetical protein
GPK93_09g17070	hypothetical protein
GPK93_09g17080	mevalonate kinase
GPK93_09g17090	tRNA-Glu
GPK93_09g17100	v-type ATPase
GPK93_09g17110	DNA replication helicase
GPK93_09g17120	U6 snRNA-associated ribonucleoprotein
GPK93_09g17130	hypothetical protein
GPK93_09g17140	hypothetical protein
GPK93_09g17150	cyclin H
GPK93_09g17160	proteasome regulatory subunit 8
GPK93_09g17170	tRNA-His
GPK93_09g17180	ePHD domain-containing protein
GPK93_09g17190	IKI3-like protein
GPK93_09g17200	undecaprenyl pyrophosphatase synthetase
GPK93_09g17210	hypothetical protein
GPK93_09g17220	chromatin-remodeling ATPase INO80
GPK93_09g17230	Rab GTPase-activating protein 1
GPK93_09g17240	structural maintenance of chromosomes protein
GPK93_09g17250	hypothetical protein
GPK93_09g17260	integrator complex subunit 3
GPK93_09g17270	hypothetical protein
GPK93_09g17280	HVA22-like protein
GPK93_09g17290	tRNA-specific adenosine deaminase
GPK93_09g17300	myosin heavy chain
GPK93_09g17310	hypothetical protein
GPK93_09g17320	hypothetical protein
GPK93_09g17330	hypothetical protein
GPK93_09g17340	DUF2463 domain-containing protein
GPK93_09g17350	DUF2463 domain-containing protein
GPK93_09g17360	DUF3654 domain-containing protein
GPK93_09g17370	DUF1609 domain-containing protein
GPK93_09g17380	DUF2463 domain-containing protein
GPK93_09g17390	DUF2463 domain-containing protein
GPK93_09g17400	small subunit ribosomal RNA
GPK93_09g17410	large subunit ribosomal RNA
GPK93_10g17420	large subunit ribosomal RNA
GPK93_10g17430	small subunit ribosomal RNA
GPK93_10g17440	hypothetical protein
GPK93_10g17450	DUF2463 domain-containing protein
GPK93_10g17460	DUF2463 domain-containing protein
GPK93_10g17470	DUF2463 domain-containing protein
GPK93_10g17480	hypothetical protein
GPK93_10g17490	DUF1686 domain-containing protein
GPK93_10g17500	DUF2463 domain-containing protein
GPK93_10g17510	signal recognition particle 9 Srp9
GPK93_10g17520	hypothetical protein
GPK93_10g17530	hypothetical protein
GPK93_10g17540	ribosomal protein L11
GPK93_10g17550	hypothetical protein
GPK93_10g17560	hypothetical protein
GPK93_10g17570	proteasome regulatory subunit 6B
GPK93_10g17580	protein kinase CKII
GPK93_10g17590	hypothetical protein
GPK93_10g17600	ADP-ribosylation factor 6
GPK93_10g17610	cyclin-dependent kinase 9
GPK93_10g17620	tRNA-Asn
GPK93_10g17630	ribosomal protein L23
GPK93_10g17640	signal recognition particle receptor subunit alpha
GPK93_10g17650	ribose 5-phosphate isomerase
GPK93_10g17660	proteasome regulatory subunit RPN7
GPK93_10g17670	tRNA-Val
GPK93_10g17680	putative U4/U6 small nuclear ribonucleoprotein PRP31
GPK93_10g17690	RNA polymerase Rpc34 subunit
GPK93_10g17700	translation initiation factor 3 subunit B
GPK93_10g17710	hypothetical protein
GPK93_10g17720	T-complex protein 1 subunit gamma
GPK93_10g17730	DNA-directed RNA polymerase II subunit RPB2
GPK93_10g17740	nuclear transcription factor Y subunit B-6
GPK93_10g17750	exosome RNA binding protein RRP41
GPK93_10g17760	tRNA (Met) cytidine acetyltransferase
GPK93_10g17770	U1 zinc finger domain-containing protein
GPK93_10g17780	tRNA-Ser
GPK93_10g17790	membrane-bound O-acyltransferase-like protein
GPK93_10g17800	lysophospholipid acyltransferase-like protein
GPK93_10g17810	kinesin motor protein
GPK93_10g17820	hypothetical protein
GPK93_10g17830	inorganic pyrophosphatase
GPK93_10g17840	hypothetical protein
GPK93_10g17850	heparin dodecasaccharide H12
GPK93_10g17860	hypothetical protein
GPK93_10g17870	GMF gamma
GPK93_10g17880	hypothetical protein
GPK93_10g17890	mRNA cap guanine-N7 methyltransferase
GPK93_10g17900	hypothetical protein
GPK93_10g17910	ribosomal protein S12/S23
GPK93_10g17920	regulatory subunit RPN10
GPK93_10g17930	vacuolar membrane proton pump
GPK93_10g17940	hypothetical protein
GPK93_10g17950	DEAD box RNA helicase
GPK93_10g17960	mechanosensitive ion channel protein
GPK93_10g17970	tRNA-Pro
GPK93_10g17980	fragile histidine triad protein FHIT
GPK93_10g17990	hypothetical protein
GPK93_10g18000	putative exportin
GPK93_10g18010	hydroxymethylglutaryl-CoA synthase A
GPK93_10g18020	vacuolar membrane proton pump
GPK93_10g18030	uracyl-DNA glycosylase
GPK93_10g18040	vacuolar membrane proton pump
GPK93_10g18050	proteasome subunit alpha type-7
GPK93_10g18060	short chain dehydrogenase
GPK93_10g18070	cGMP-dependent protein kinase I alpha catalytic domain
GPK93_10g18080	NLI interacting factor-like phosphatase
GPK93_10g18090	phosphatidyl inositol-3-kinase
GPK93_10g18100	replication factor-a protein 1
GPK93_10g18110	pre-mRNA-splicing factor 38
GPK93_10g18120	hypothetical protein
GPK93_10g18130	T complex subunit beta
GPK93_10g18140	hypothetical protein
GPK93_10g18150	dynein heavy chain
GPK93_10g18160	hypothetical protein
GPK93_10g18170	histone acetyltransferase
GPK93_10g18180	ribosome biogenesis protein NIP7
GPK93_10g18190	DEAH-box RNA helicase
GPK93_10g18200	helicase associated WITH SET1 protein 1
GPK93_10g18210	putative translation initiation factor EIF-2B subunit epsilon
GPK93_10g18220	DNA mismatch repair ATPase Msh6
GPK93_10g18230	DHHC palmitoyltransferase
GPK93_10g18240	hypothetical protein
GPK93_10g18250	KaiC domain-containing protein
GPK93_10g18260	methionine aminopeptidase 2
GPK93_10g18270	DUF3591 domain-containing protein
GPK93_10g18280	hypothetical protein
GPK93_10g18290	replication factor C
GPK93_10g18300	hypothetical protein
GPK93_10g18310	putative methyltransferase
GPK93_10g18320	hypothetical protein
GPK93_10g18330	HEC/Ndc80p-like protein
GPK93_10g18340	fibrillarin-like rRNA/tRNA 2'-O-methyltransferase
GPK93_10g18350	maintenance of killer protein 16
GPK93_10g18360	Luc7-like protein
GPK93_10g18370	F-box/leucine-rich repeat domain-containing protein
GPK93_10g18380	hypothetical protein
GPK93_10g18390	glycerol-3-phosphate dehydrogenase
GPK93_10g18400	GTPase-activating protein TBC1D15
GPK93_10g18410	4-coumarate-coA ligase 2
GPK93_10g18420	cleavage and polyadenylation specificity factor 3
GPK93_10g18430	4-coumarate-coA ligase 2
GPK93_10g18440	ribonucleoside diphosphate reductase
GPK93_10g18450	transcription initiation factor TFIID subunit TAF12
GPK93_10g18460	ubiquitin conjugating enzyme E2
GPK93_10g18470	putative DNA replication complex GINS protein PSF1
GPK93_10g18480	coilin-interacting nuclear ATPase protein
GPK93_10g18490	hypothetical protein
GPK93_10g18500	hypothetical protein
GPK93_10g18510	ribosomal protein L15
GPK93_10g18520	kinesin-like protein
GPK93_10g18530	hypothetical protein
GPK93_10g18540	F/Y-rich domain-containing protein
GPK93_10g18550	hypothetical protein
GPK93_10g18570	v-type ATP synthase beta chain
GPK93_10g18580	DNA directed RNA polymerase II
GPK93_10g18590	hypothetical protein
GPK93_10g18600	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
GPK93_10g18610	hypothetical protein
GPK93_10g18620	DNA polymerase alpha subunit B
GPK93_10g18630	hypothetical protein
GPK93_10g18640	DnaJ domain-containing protein
GPK93_10g18650	polyadenylate-binding protein
GPK93_10g18660	tRNA-Ala
GPK93_10g18670	transcription initiation factor TFIID subunit TAF6
GPK93_10g18680	origin recognition complex subunit 2
GPK93_10g18690	putative transportin
GPK93_10g18700	hypothetical protein
GPK93_10g18710	hypothetical protein
GPK93_10g18720	anaphase-promoting complex subunit 1
GPK93_10g18730	DNA repair protein RAD14
GPK93_10g18740	ubiquitin fusion degradation protein 1
GPK93_10g18750	hypothetical protein
GPK93_10g18760	casein kinase II subunit beta
GPK93_10g18770	DNA polymerase type-B epsilon
GPK93_10g18780	hypothetical protein
GPK93_10g18790	ABC transporter
GPK93_10g18800	importin-beta
GPK93_10g18810	formin domain-containing protein
GPK93_10g18820	lysocardiolipin acyltransferase
GPK93_10g18830	carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1
GPK93_10g18840	ser/thr protein phosphatase 5
GPK93_10g18850	MIP18-like protein
GPK93_10g18860	ribosomal protein L44
GPK93_10g18870	ubiquitin conjugating enzyme E2
GPK93_10g18880	Snf2/Rad54-like helicase
GPK93_10g18890	DNA repair protein Rad10
GPK93_10g18900	Rrp4-like RNA-binding protein
GPK93_10g18910	cleavage and polyadenylation specificity factor 3
GPK93_10g18920	mechanosensitive ion channel protein
GPK93_10g18930	inositol polyphosphate-5-phosphatase
GPK93_10g18940	ubiquitin protein ligase
GPK93_10g18950	hypothetical protein
GPK93_10g18960	YesX-like protein
GPK93_10g18970	D-galactonate transporter
GPK93_10g18980	proteasome regulatory subunit 6A
GPK93_10g18990	histone acetyltransferase GCN5
GPK93_10g19000	phosphatidic acid phosphatase
GPK93_10g19010	proteasome subunit beta type-6
GPK93_10g19020	glutamyl tRNA synthetase
GPK93_10g19030	hypothetical protein
GPK93_10g19040	homeobox domain-containing protein
GPK93_10g19050	homeodomain-containing protein
GPK93_10g19060	L-lysine dehydrogenase
GPK93_10g19070	hypothetical protein
GPK93_10g19080	zinc finger domain-containing protein
GPK93_10g19090	phosphomevalonate kinase
GPK93_10g19100	sterolin-1
GPK93_10g19110	DUF5099 domain-containing protein
GPK93_10g19120	ubiquitin conjugating enzyme E2
GPK93_10g19130	hypothetical protein
GPK93_10g19140	hypothetical protein
GPK93_10g19150	ribosomal protein S24
GPK93_10g19160	ribosomal protein S30
GPK93_10g19170	small nuclear ribonucleoprotein D2
GPK93_10g19180	putative choline-phosphate cytidylyltransferase A
GPK93_10g19190	meiotic nuclear division protein 1-like protein
GPK93_10g19200	hypothetical protein
