### Locus tag	Product description
ECU07_1240	hypothetical protein
ECU07_1250	hypothetical protein
ECU07_1260	GUANOSINE DIPHOSPHATASE
ECU07_1270	MRK1-LIKE SER/THR PROTEIN KINASE
ECU07_1280	GLUCOSAMINE FRUCTOSE-6-PHOSPHATE AMINOTRANSFERASE
ECU07_1290	hypothetical protein
ECU07_1300	hypothetical protein
ECU07_1310	hypothetical protein
ECU07_1320	similarity to HYPOTHETICAL TRANSMEMBRANE PROTEIN YAGE_SCHPO
ECU07_1330	EUKARYOTIC TRANSLATION INITIATION FACTOR 5
ECU07_1340	rRNA METHYL-TRANSFERASE
ECU07_1350	VACUOLAR ATP SYNTHASE 16kDa PROTEOLIPID SUBUNIT
ECU07_1360	hypothetical protein
ECU07_1370	hypothetical protein
ECU07_1380	UBIQUITIN/ L40 RIBOSOMAL PROTEIN FUSION
ECU07_1390	hypothetical protein
ECU07_1410	60S RIBOSOMAL PROTEIN L17
ECU07_1420	20S PROTEASOME ALPHA-TYPE SUBUNIT
ECU07_1430	hypothetical protein
ECU07_1440	similarity to HYPOTHETICAL PROTEIN C215_HUMAN
ECU07_1450	hypothetical protein
ECU07_1460	60S ribosomal protein L37
ECU07_1460	60S ribosomal protein L37
ECU07_1470	hypothetical protein
ECU07_1480	hypothetical protein
ECU07_1490	hypothetical protein
ECU07_1500	CATION-TRANSPORTING ATPase
ECU07_1520	SER/THR PROTEIN PHOSPHATASE PP2C HOMOLOG 1
ECU07_1530	similarity to ribosomal protein L5
ECU07_1540	hypothetical protein
ECU07_1550	hypothetical protein
ECU07_1560	hypothetical protein
ECU07_1570	THREONYL tRNA SYNTHETASE
ECU07_1580	hypothetical protein
ECU07_1590	hypothetical protein
ECU07_1600	threonyl-tRNA synthetase fragment
ECU07_1610	similarity to HYPOTHETICAL PROTEIN YM10_yeast
ECU07_1620	BOS1-LIKE VESICULAR TRANSPORT PROTEIN
ECU07_1630	putative protein with Mut T domain (Nudix hydrolase family)
ECU07_1640	26S PROTEASOME REGULATORY SUBUNIT 4
ECU07_1650	similarity to RIBONUCLEASE P SUBUNIT
ECU07_1660	PHENYLALANYL tRNA SYNTHETASE BETA SUBUNIT
ECU07_1670	hypothetical protein
ECU07_1680	N-TERMINAL ACYLTRANSFERASE COMPLEX (ARD) SUBUNIT
ECU07_1690	CHROMATIN STRUCTURE MODULATOR
ECU07_1700	40S ribosomal protein S2
ECU07_1710	hypothetical protein
ECU07_1720	putative RNA-binding protein
ECU07_1730	MADS domain
ECU07_1740	MADS domain
ECU07_1750	DNA-DIRECTED RNA POLYMERASE II 19kDa SUBUNIT
ECU07_1760	GLUCOSAMINE PHOSPHATE N-ACETYLTRANSFERASE
ECU07_1770	hypothetical protein
ECU07_1780	hypotheticalprotein v26.11
ECU07_1790	similarity to HYPOTHETICAL PROTEIN YEY6_yeast
ECU07_1800	hypothetical protein
ECU07_1810	hypothetical protein
ECU07_1820	similarity to 60S ribosomal protein L35
ECU07_1830	putative U6 snRNA-ASSOCIATED SM-LIKE PROTEIN
ECU07_1840	similarity to transcription factors of the MAF subfamily
ECU07_1850	hypothetical protein
ECU07_1860	hypothetical protein
ECU07_1870	hypothetical protein
ECU07_1880	hypothetical protein
ECU07_1890	hypothetical protein
ECU08_0010	hypothetical protein
ECU08_0020	hypothetical protein
ECU08_0030	hypothetical protein
ECU08_0040	hypothetical protein
ECU08_0050	hypothetical protein
ECU08_0060	hypothetical protein
ECU08_0070	GLUTAMYL AMINOPEPTIDASE
ECU08_0080	DIHYDROFOLATE REDUCTASE
ECU08_0090	THYMIDYLATE SYNTHASE
ECU08_0100	hypothetical protein
ECU08_0110	PROBABLE ABC TRANSPORTER
ECU08_0120	Zinc finger and GTP binding domains
ECU08_0130	hypothetical protein
ECU08_0135	PUTATIVE SM-LIKE SMALL NUCLEAR RIBONUCLEOPROTEIN
ECU08_0140	hypothetical protein
ECU08_0150	ADAPTIN SMALL SUBUNIT
ECU08_0160	CALCINEURIN BETA SUBUNIT
ECU08_0170	VESICULAR TRANSPORT PROTEIN
ECU08_0180	hypothetical protein
ECU08_0190	hypothetical protein
ECU08_0200	hypothetical protein
ECU08_0210	SEC31-LIKE PROTEIN INVOLVED IN VESICULAR TRANSPORT FROM ER TO GOLGI
ECU08_0230	CELL DIVISION PROTEIN KINASE
ECU08_0240	GTP BINDING PROTEIN
ECU08_0250	VACUOLAR ATP SYNTHASE 54KDA SUBUNIT
ECU08_0260	G2/MITOTIC SPECIFIC CYCLIN 2
ECU08_0270	hypothetical protein
ECU08_0280	PROTEASOME BETA-TYPE COMPONENT C7-1
ECU08_0290	DNA REPLICATION LICENSING FACTOR OF THE MCM FAMILY MCM3
ECU08_0300	hypothetical protein
ECU08_0310	similarity TO GUANINE NUCLEOTIDE BINDING PROTEIN BETA SUBUNIT GBLP_DROME
ECU08_0320	DNA-DIRECTED RNA POLYMERASE I
ECU08_0330	similarity to HYPOTHETICAL GTP BINDING PROTEIN YN8U_YEAST
ECU08_0340	COATOMER COMPLEX DELTA SUBUNIT
ECU08_0350i	RIBOSOMAL PROTEIN S15
ECU08_0360	similarity with ornithine decarboxylase DCOR_YEAST
ECU08_0370	60S RIBOSOMAL PROTEIN L26
ECU08_0380	CLEAVAGE STIMULATION FACTOR
ECU08_0390	HIT FAMILY PROTEIN
ECU08_0400	PUTATIVE METHYLTRANSFERASE
ECU08_0410	HISTONE H2B
ECU08_0420	hypothetical protein
ECU08_0430	hypothetical protein
ECU08_0440	hypothetical protein
ECU08_0450	hypothetical protein
ECU08_0460	similarity to DNA damage tolerance protein RAD31 RA31_SCHPO
ECU08_0470	PEPTIDYL-PROLYL CIS-TRANS ISOMERASE
ECU08_0480	hypothetical protein
ECU08_0490	CYSTEINYL tRNA SYNTHETASE
ECU08_0500	hypothetical protein
ECU08_0510	hypothetical protein
ECU08_0520	POLYADENYLATE BINDING PROTEIN 2
ECU08_0530	similarity to HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YG35_yeast
ECU08_0540	hypothetical protein
ECU08_0550	ARGINYL tRNA SYNTHETASE
ECU08_0560	putative Zn finger protein
ECU08_0570	similarity to HYPOTHETICAL NUCLEAR PROTEIN YKJ5_YEAST
ECU08_0580	hypothetical protein
ECU08_0590	hypothetical protein
ECU08_0600i	RIBOSOMAL PROTEIN L18A (L20 in yeast)
ECU08_0610	CONDENSIN-LIKE PROTEIN
ECU08_0620	hypothetical protein
ECU08_0630	DNA POLYMERASE ALPHA COMPLEX
ECU08_0640	NICOTINIC ACID TRANSPORTER( ALLANTOATE PERMEASE FAMILY)
ECU08_0650	DNA-DIRECTED RNA POLYMERASE III 25KDA POLYPEPTIDE
ECU08_0660	hypothetical protein
ECU08_0670	TUBULIN GAMMA CHAIN
ECU08_0680	COATOMER ZETA SUBUNIT
ECU08_0690	POLY(A)+ RNA EXPORT PROTEIN
ECU08_0700	PROTEIN INVOLVED IN RETRIEVAL OF ER MEMBRANE PROTEINS FROM THE EARLY GOLGI COMPARTMENT
ECU08_0710	hypothetical protein
ECU08_0720	hypothetical protein
ECU08_0730	RAS-RELATED PROTEIN RAB5
ECU08_0740	ATP BINDING PROTEIN (MRP/MBP35 family)
ECU08_0750	hypothetical protein
ECU08_0760	BELONGS TO THE XPF/ERCC4/RAD1 FAMILY
ECU08_0765	DNA-DIRECTED RNA POLYMERASE II 16KDA POLYPEPTIDE
ECU08_0770	8-OXOGUANINE DNA GLYCOSYLASE
ECU08_0780	hypothetical protein
ECU08_0790	hypothetical protein
ECU08_0800	SIGNAL RECOGNITION PARTICLE (SRP) SEC65 SUBUNIT
ECU08_0810	hypothetical protein
ECU08_0820	hypothetical protein
ECU08_0830	60S RIBOSOMAL PROTEIN L4
ECU08_0840	TRANSCRIPTION FACTOR TAU-LIKE PROTEIN (TFIIIC-LIKE PROTEIN)
ECU08_0850	SIMILAR TO CCR4-ASSOCIATED FACTOR 1
ECU08_0860	UBIQUITIN-CONJUGATING ENZYME E2-24KD (UBIQUITIN-PROTEIN LIGASE)
ECU08_0870	40S RIBOSOMAL PROTEIN S4
ECU08_0880	ENDONUCLEASE III
ECU08_0890	KINESIN-LIKE PROTEIN
ECU08_0900	EUKARYOTIC TRANSLATION INITIATION FACTOR 4E (mRNA CAP-BINDING PROTEIN)
ECU08_0910	hypothetical protein
ECU08_0920	hypothetical protein
ECU08_0930	cAMP-DEPENDENT PROTEIN KINASE TYPE 1 REGULATORY CHAIN
ECU08_0940	hypothetical protein
ECU08_0950	hypothetical protein
ECU08_0960	hypothetical protein
ECU08_0970	HEAT SHOCK TRANSCRIPTION FACTOR HSF
ECU08_0980	hypothetical protein
ECU08_0990	hypothetical protein
ECU08_1000	hypothetical protein
ECU08_1010	hypothetical protein
ECU08_1020	hypothetical protein
ECU08_1030	hypothetical protein
ECU08_1040	similarity to 40S RIBOSOMAL PROTEIN S25
ECU08_1050	similarity to D-ribose transport binding protein
ECU08_1060	40S RIBOSOMAL PROTEIN S13
ECU08_1070	similarity to 40S RIBOSOMAL PROTEIN S25
ECU08_1080	P68-LIKE PROTEIN (DEAD BOX FAMILY OF RNA HELICASES)
ECU08_1090	similarity to HYPOTHETICAL PROTEIN YB36_METJA
ECU08_1100	COATOMER COMPLEX BETA SUBUNIT
ECU08_1110	GUANINE NUCLEOTIDE BINDING PROTEIN BETA SUBUNIT
ECU08_1120	ATP DEPENDENT DNA BINDING HELICASE (RAD3/XPD SUBFAMILY OF HELICASES)
ECU08_1130	hypothetical protein
ECU08_1140	hypothetical protein
ECU08_1150	HYPOTHETICAL OXIDOREDUCTASE SHORT CHAIN DEHYDROGENASES/REDUCTASES (SDR) FAMILY
ECU08_1160i	60S ribosomal protein L23
ECU08_1170	hypothetical protein
ECU08_1180	hypothetical protein
ECU08_1190	hypothetical protein
ECU08_1200	hypothetical protein
ECU08_1210	hypothetical protein
ECU08_1220	hypothetical protein
ECU08_1230	hypothetical protein
ECU08_1240	WD repeat containing protein
ECU08_1250	COATOMER BETA PRIME SUBUNIT
ECU08_1260	CHROMATIN ASSEMBLY FACTOR 1 P60 SUBUNIT
ECU08_1270i	DEVELOPMENTALLY REGULATED GTP BINDING PROTEIN
ECU08_1280	hypothetical protein
ECU08_1290	TYPE II PROTEIN FARNESYLTRANSFERASE BETA SUBUNIT
ECU08_1300	ADP/ATP CARRIER PROTEIN 1
ECU08_1320	hypothetical protein
ECU08_1330	DNA-DIRECTED RNA POLYMERASE I SUBUNIT M
ECU08_1340	hypothetical protein
ECU08_1350	LONGEVITY ASSURANCE PROTEIN 1
ECU08_1370	hypothetical protein
ECU08_1380	GLUTAREDOXIN
ECU08_1390	hypothetical protein
ECU08_1400	SIMILAR TO GATA BINDING FACTOR-1
ECU08_1410	hypothetical protein
ECU08_1420	similarity with phosphatidylinositol phosphate phosphatase (fragment)
ECU08_1430	hypothetical protein
ECU08_1440	hypothetical protein
ECU08_1450	N2%2CN2-DIMETHYLGUANOSINE tRNA METHYLTRANSFERASE
ECU08_1460	hypothetical protein
ECU08_1470	hypothetical protein
ECU08_1480	SNF1-RELATED PROTEIN KINASE
ECU08_1490	hypothetical protein
ECU08_1500	hypothetical protein
ECU08_1510	hypothetical protein
ECU08_1520	VACUOLAR ATP SYNTHASE SUBUNIT AC39
ECU08_1530	similarity to HYPOTHETICAL PROTEIN Y041_METJA
ECU08_1540	hypothetical protein
ECU08_1550	hypothetical protein
ECU08_1560	hypothetical protein
ECU08_1570	60S ribosomal protein L10
ECU08_1580	20S PROTEASOME COMPONENT C3
ECU08_1590	hypothetical protein
ECU08_1600	hypothetical protein
ECU08_1610	similarity to HYPOTHETICAL PROTEINS of the UPF0023 family
ECU08_1620	SER/THR PROTEIN KINASE
ECU08_1630	hypothetical protein
ECU08_1640	GENERAL TRANSCRIPTION FACTOR
ECU08_1650	hypothetical protein
ECU08_1660	TRANSCRIPTION INITIATION PROTEIN
ECU08_1670	hypothetical protein
ECU08_1680	hypothetical protein
ECU08_1690	putative zinc finger protein
ECU08_1700	hypothetical protein
ECU08_1710	hypothetical protein
ECU08_1720	hypothetical protein
ECU08_1730	hypothetical protein
ECU08_1740	hypothetical protein
ECU08_1750	hypothetical protein
ECU08_1760	hypothetical protein
ECU08_1770	hypothetical protein
ECU08_1780	ribosomal protein L6e domain-containing protein
ECU08_1790	CELL CYCLE PROTEIN KINASE (CDC2/CDKX FAMILY)
ECU08_1800	hypothetical protein
ECU08_1820	hypothetical protein
ECU08_1830	hypothetical protein
ECU08_1840	similarity to HYPOTHETICAL PROTEIN Y570_METJA
ECU08_1850	GLUCOSE-6-PHOSPHATE-1-DEHYDROGENASE
ECU08_1860	similarity to HYPOTHETICAL PROTEINS with N6-adenine methyltransferase signature
ECU08_1870	20S PROTEASOME BETA-TYPE SUBUNIT COMPONENT PRE2
ECU08_1880	hypothetical protein
ECU08_1890	hypothetical protein
ECU08_1900	putative protein of the CBBQ/NORQ/NIRQ/GVPN family
ECU08_1910	60S RIBOSOMAL PROTEIN L23A (L25 in yeast)
ECU08_1920	CDK2-LIKE CELL CYCLE PROTEIN KINASE
ECU08_1930	GTP-BINDING ADP-RIBOSYLATION FACTOR HOMOLOG 1
ECU08_1950	hypothetical protein
ECU08_1960	CELL CYCLE PROTEIN KINASE OF THE CDC7 SUBFAMILY
ECU08_1970	26S PROTEASOME REGULATORY SUBUNIT 6
ECU08_1980	hypothetical protein
ECU08_1990	hypothetical protein
ECU08_2000	hypothetical protein
ECU08_2010	60S ribosomal protein L12
ECU08_2020	hypothetical protein
ECU08_2030	hypothetical protein
ECU08_2040	hypothetical protein
ECU08_2050	hypothetical protein
ECU08_2060	hypothetical protein
ECU08_2070	hypothetical protein
ECU08_2080	hypothetical protein
ECU08_2090	hypothetical protein
ECU08_2100	hypothetical protein
ECU08_2110	hypothetical protein
ECU08_2120	hypothetical protein
ECU08_2130	hypothetical protein
ECU08_2140	hypothetical protein
ECU09_0010	hypothetical protein
ECU09_0020	hypothetical protein
ECU09_0030	hypothetical protein
ECU09_0040	hypothetical protein
ECU09_0050	hypothetical protein
ECU09_0060	hypothetical protein
ECU09_0070	translation initiation factor IF-2P
ECU09_0080	hypothetical protein
ECU09_0090	hypothetical protein
ECU09_0100	hypothetical protein
ECU09_0110	hypothetical protein
ECU09_0120	hypothetical protein
ECU09_0130	ER protein-translation complex subunit alpha
ECU09_0140	0-sialoglycoportein endopeptidase
ECU09_0150	pre-mRNA splicing factor
ECU09_0160	hypothetical protein
ECU09_0170	GTP-binding protein
ECU09_0180	hypothetical protein
ECU09_0190	hypothetical protein
ECU09_0200	hypothetical protein
ECU09_0210	hypothetical protein
ECU09_0220	hypothetical protein
ECU09_0230	hypothetical protein
ECU09_0240	hypothetical protein
ECU09_0250	hypothetical protein
ECU09_0260	hypothetical protein
ECU09_0270	hypothetical protein
ECU09_0280	hypothetical protein
ECU09_0290	alpha-actinin
ECU09_0300	hypothetical protein
ECU09_0310	telomerase reverse transcriptase
ECU09_0320	hypothetical protein
ECU09_0330	proteasome regulatory subunit 8
ECU09_0340	hypothetical protein
ECU09_0350	hypothetical protein
ECU09_0360	hypothetical protein
ECU09_0370	hypothetical protein
ECU09_0380	hypothetical protein
ECU09_0390	hypothetical protein
ECU09_0395	60S ribosomal protein L39
ECU09_0395	60S ribosomal protein L39
ECU09_0400	mRNA capping enzyme subunit alpha
ECU09_0410	DNA repair and recombination protein
ECU09_0420	hypothetical protein
ECU09_0430	DNA polymerase delta catalytic subunit
ECU09_0440	histone H4
ECU09_0450	histone H3
ECU09_0460	hypothetical protein
ECU09_0470	hypothetical protein
ECU09_0480	T complex protein 1 subunit beta
ECU09_0490	hypothetical protein
ECU09_0500	hypothetical protein
ECU09_0510	hypothetical protein
ECU09_0520	hypothetical protein
ECU09_0530	hypothetical protein
ECU09_0540	hypothetical protein
ECU09_0550	hypothetical protein
ECU09_0560	hypothetical protein
ECU09_0570	hypothetical protein
ECU09_0580	hypothetical protein
ECU09_0590	hypothetical protein
ECU09_0600	hypothetical protein
ECU09_0610	hypothetical protein
ECU09_0620	hypothetical protein
ECU09_0625	Zn finger protein
ECU09_0630	hypothetical protein
ECU09_0640	pyruvate kinase
ECU09_0650	hypothetical protein
ECU09_0660	hypothetical protein
ECU09_0670	histone deacetylase
ECU09_0680	hypothetical protein
ECU09_0690	hypothetical protein
ECU09_0700	hypothetical protein
ECU09_0710	hypothetical protein
ECU09_0720	proteasome subunit beta
ECU09_0730	hypothetical protein
ECU09_0740	hypothetical protein
ECU09_0750	hypothetical protein
ECU09_0760	5-3 exoribonuclease
ECU09_0770	DNA polymerase delta regulatory subunit
ECU09_0780	hypothetical protein
ECU09_0790	hypothetical protein
ECU09_0800	hypothetical protein
ECU09_0810	hypothetical protein
ECU09_0820	septin
ECU09_0830	ribonuclease
ECU09_0840	cyclin C
ECU09_0850	hypothetical protein
ECU09_0860	hypothetical protein
ECU09_0870	mitochondrial translocase
ECU09_0880	hypothetical protein
ECU09_0890	hypothetical protein
ECU09_0900	hypothetical protein
ECU09_0910	deoxyhypusine synthase
ECU09_0920	tRNA methyltransferase
ECU09_0930	DNA repair and recombination protein
ECU09_0940	syntaxin
ECU09_0950	hypothetical protein
ECU09_0960	hypothetical protein
ECU09_0970	hypothetical protein
ECU09_0980	serine/threonine protein phosphatase catalytic subunit
ECU09_0990	hypothetical protein
ECU09_1000	60S ribosomal protein L3
ECU09_1005	hypothetical protein
ECU09_1010	hypothetical protein
ECU09_1020	hypothetical protein
ECU09_1030	G2/mitotic specific cyclin 1
ECU09_1040	pyruvate dehydrogenase E1 component subunit alpha
ECU09_1050	hypothetical protein
ECU09_1060	hypothetical protein
ECU09_1070	peptidase
ECU09_1080	hypothetical protein
ECU09_1100	hypothetical protein
ECU09_1110	hypothetical protein
ECU09_1120	hypothetical protein
ECU09_1160	hypothetical protein
ECU09_1170	hypothetical protein
ECU09_1180	hypothetical protein
ECU09_1190	amino acid ABC transporter
ECU09_1200	eukaryotic translation initiation factor 4A
ECU09_1210	GPI-anchor biosynthesis protein
ECU09_1220	calmodulin
ECU09_1230	hypothetical protein
ECU09_1240	hypothetical protein
ECU09_1250	40S ribosomal protein S3
ECU09_1260	hypothetical protein
ECU09_1270	hypothetical protein
ECU09_1275	40S ribosomal protein S28
ECU09_1280	hypothetical protein
ECU09_1290	hypothetical protein
ECU09_1300	hypothetical protein
ECU09_1310	zinc finger protein
ECU09_1320	endochitinase
ECU09_1330	replication factor C
ECU09_1340	hypothetical protein
ECU09_1350	40S ribosomal protein S22
ECU09_1360	DNA replication licensing factor
ECU09_1370	hypothetical protein
ECU09_1375	thioltransferase
ECU09_1380	nonsense-mediated mRNA decay protein
ECU09_1390	DNA helicase
ECU09_1400	hypothetical protein
ECU09_1410	hypothetical protein
ECU09_1420	U2 small nuclear RNA auxillary factor
ECU09_1430	hypothetical protein
ECU09_1440	phospholipid-transporting ATPase
ECU09_1450	GTP-binding protein
ECU09_1460	hypothetical protein
ECU09_1470	hypothetical protein
ECU09_1480	hypothetical protein
ECU09_1490	protein phosphatase regulatory subunit A
ECU09_1500	hypothetical protein
ECU09_1510	hypothetical protein
ECU09_1520	hypothetical protein
ECU09_1530	hypothetical protein
ECU09_1540	hypothetical protein
ECU09_1550	hypothetical protein
ECU09_1560	protein disulfide isomerase
ECU09_1570	hypothetical protein
ECU09_1580	hypothetical protein
ECU09_1590	hypothetical protein
ECU09_1600	nucleolar protein
ECU09_1610	translation factor
ECU09_1620	DNA repair protein
ECU09_1630	hypothetical protein
ECU09_1640	ATP-dependent RNA helicase
ECU09_1650	GTP-binding protein
ECU09_1660	hypothetical protein
ECU09_1670	hypothetical protein
ECU09_1680	asparagine--tRNA ligase
ECU09_1690	hypothetical protein
ECU09_1700	hypothetical protein
ECU09_1710	oxidoreductase
ECU09_1720	hypothetical protein
ECU09_1730	hypothetical protein
ECU09_1740	phospholipase A2 activating protein
ECU09_1750	hypothetical protein
ECU09_1760	hypothetical protein
ECU09_1770	guanine nucleotide-binding protein subunit beta
ECU09_1780	mevalonate kinase
ECU09_1790	ATP synthase
ECU09_1800	DNA helicase
ECU09_1805	U6 snRNA-associated ribonucleoprotein
ECU09_1810	hypothetical protein
ECU09_1820	hypothetical protein
ECU09_1830	hypothetical protein
ECU09_1840	26S proteasome regulatory subunit 8
ECU09_1850	transcriptional regulator
ECU09_1860	hypothetical protein
ECU09_1870	undecaprenyl pyrophosphatase synthetase
ECU09_1880	hypothetical protein
ECU09_1890	transcriptional activator
ECU09_1900	hypothetical protein
ECU09_1910	chromosome segregation protein
ECU09_1920	hypothetical protein
ECU09_1930	hypothetical protein
ECU09_1940	hypothetical protein
ECU09_1950	hypothetical protein
ECU09_1960	deoxycytidylate deaminase
ECU09_1970	myosin heavy chain
ECU09_1980	hypothetical protein
ECU09_1990	hypothetical protein
ECU09_2000	hypothetical protein
ECU09_2010	hypothetical protein
ECU09_2020	hypothetical protein
ECU09_2030	hypothetical protein
ECU09_2040	hypothetical protein
ECU10_0010	hypothetical protein
ECU10_0020	hypothetical protein
ECU10_0030	hypothetical protein
ECU10_0040	hypothetical protein
ECU10_0050	hypothetical protein
ECU10_0060	hypothetical protein
ECU10_0070	similarity to 60S RIBOSOMAL PROTEIN L35
ECU10_0080	hypothetical protein
ECU10_0090	ADP RIBOSYLATION FACTOR 1
ECU10_0110	hypothetical protein
ECU10_0120	CELL CYCLE PROTEIN KINASE OF THE CDC7 SUBFAMILY
ECU10_0130	26S PROTEASOME REGULATORY SUBUNIT 6
ECU10_0140	VACUOLAR ATP SYNTHASE SUBUNIT D
ECU10_0150	Zinc finger domain
ECU10_0160	60S RIBOSOMAL PROTEIN L23A
ECU10_0170	SIGNAL RECOGNITION PARTICLE RECEPTOR ALPHA SUBUNIT
ECU10_0180	RIBOSE 5-PHOSPHATE ISOMERASE
ECU10_0190	similarity to HYPOTHETICAL PROTEIN YD95_SCHPO
ECU10_0200	hypothetical protein
ECU10_0210	DNA-DIRECTED RNA POLYMERASE III 34kDa SUBUNIT
ECU10_0220	TRANSLATION INITIATION FACTOR IF3 SUBUNIT 2
ECU10_0230	hypothetical protein
ECU10_0240	T COMPLEX PROTEIN 1 GAMMA SUBUNIT
ECU10_0250	DNA-DIRECTED RNA POLYMERASE II SECOND LARGEST SUBUNIT
ECU10_0260	CCAAT BINDING TRANSCRIPTION FACTOR SUBUNIT A
ECU10_0270	BELONGS TO THE RNASE PH (EXOSOME) FAMILY
ECU10_0280	similarity to HYPOTHETICAL PROTEIN YDK9_SCHPO
ECU10_0290	U1 SMALL NUCLEAR RIBONUCLEOPROTEIN (U1snRNP)
ECU10_0300	STEROL O-ACYLTRANSFERASE
ECU10_0310	1-ACYL-SN-GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE
ECU10_0320	similarity to KINESIN-LIKE PROTEIN A
ECU10_0330	putative zinc finger protein
ECU10_0340	INORGANIC PYROPHOSPHATASE
ECU10_0350	RAS-LIKE GTP-BINDING PROTEIN OF THE RHO1 FAMILY
ECU10_0360	ACTIN-BINDING PROTEIN OF THE ADF FAMILY
ECU10_0370	hypothetical protein
ECU10_0380	mRNA CAPPING ENZYME
ECU10_0390	hypothetical protein
ECU10_0400	40S ribosomal protein S23
ECU10_0410	26S PROTEASOME REGULATORY SUBUNIT S5A
ECU10_0420	similarity to ADP/ATP CARRIER PROTEIN
ECU10_0430	hypothetical protein
ECU10_0440	putative ATP-DEPENDENT RNA HELICASE
ECU10_0450	hypothetical protein
ECU10_0460	hypothetical protein
ECU10_0470	hypothetical protein
ECU10_0480	BIS 5'-ADENOSYL TRIPHOSPHATASE OF THE HIT FAMILY
ECU10_0490	hypothetical protein
ECU10_0500	hypothetical protein
ECU10_0510	3-HYDROXY-3-METHYLGLUTARYL-CoA SYNTHASE 2
ECU10_0520	similarity to ATP/ADP CARRIER PROTEIN
ECU10_0530	URACYL DNA GLYCOSYLASE
ECU10_0540	similarity to ADP/ATP CARRIER PROTEIN
ECU10_0550	PROTEASOME ALPHA SUBUNIT C6
ECU10_0560	putative OXIDOREDUCTASE OF THE SHORT CHAIN DEHYDROGENASE/REDUCTASE FAMILY
ECU10_0570	cAMP-dependent protein kinase
ECU10_0580	hypothetical protein
ECU10_0590	PHOSPHATIDYL INOSITOL-3-KINASE (C-TERMINAL REGION)
ECU10_0600	DNA REPLICATION FACTOR A PROTEIN 1
ECU10_0610	hypothetical protein
ECU10_0620	NONSENSE-MEDIATED mRNA DECAY PROTEIN 5
ECU10_0630	T COMPLEX PROTEIN 1 ETA SUBUNIT
ECU10_0640	DYNEIN HEAVY CHAIN
ECU10_0650	hypothetical protein
ECU10_0660	HIV1-TAT INTERACTING PROTEIN 60KDa HOMOLOG (SAS/MOZ FAMILY)
ECU10_0670	ribosome biogenesis protein NIP7
ECU10_0680	PRE-mRNA SPLICING FACTOR
ECU10_0690	ATP-DEPENDENT RNA HELICASE (DEAD box family)
ECU10_0700	TRANSLATION INITIATION FACTOR EIF-2B EPSILON SUBUNIT
ECU10_0710	DNA MISMATCH REPAIR PROTEIN OF THE MUTS FAMILY
ECU10_0720	ANKYRIN REPEAT-CONTAINING PROTEIN
ECU10_0730	hypothetical protein
ECU10_0740	hypothetical protein
ECU10_0750	METHIONINE AMINOPEPTIDASE 2
ECU10_0760	TRANSCRIPTION INITIATION FACTOR TFIID 111kDa SUBUNIT
ECU10_0770	hypothetical protein
ECU10_0780i	DNA REPLICATION FACTOR C 38kDa SUBUNIT
ECU10_0790	hypothetical protein
ECU10_0800	similarity to HYPOTHETICAL PROTEIN YD29_SCHPO
ECU10_0810	similarity to HYPOTHETICAL PROTEIN YBY3_SCHPO
ECU10_0820	rRNA methyltransferase NOP1
ECU10_0830	NUCLEAR PROTEIN OF THE GLUTATHIONE-S-TRANSFERASE FAMILY
ECU10_0840	similarity to HYPOTHETICAL PROTEIN YP68_CAEEL
ECU10_0850	hypothetical protein
ECU10_0860	hypothetical protein
ECU10_0870	MITOCHONDRIAL GLYCEROL-3-PHOSPHATE DEHYDROGENASE
ECU10_0880	hypothetical protein
ECU10_0890	LONG CHAIN FATTY ACID CoA LIGASE
ECU10_0900	similarity to HYPOTHETICAL PROTEIN Y162_METJA
ECU10_0910	LONG CHAIN FATTY ACID CoA LIGASE
ECU10_0920	RIBONUCLEOSIDE DIPHOSPHATE REDUCTASE
ECU10_0930	hypothetical protein
ECU10_0940	UBIQUITIN-CONJUGATING ENZYME E2 SUBUNIT
ECU10_0950	similarity to HYPOTHETICAL PROTEIN YDI3_yeast
ECU10_0960	Similarity to HYPOTHETICAL PROTEINS YCD7_HUMAN
ECU10_0970	hypothetical protein
ECU10_0980	hypothetical protein
ECU10_0990	60S RIBOSOMAL PROTEIN L27A
ECU10_0990	60S RIBOSOMAL PROTEIN L27A
ECU10_1000	KINESIN-RELATED PROTEIN
ECU10_1010	hypothetical protein
ECU10_1020	hypothetical protein
ECU10_1030	hypothetical protein
ECU10_1040	VACUOLAR ATP SYNTHASE SUBUNIT B
ECU10_1050	ATP-binding domain
ECU10_1060	PHOSPHOGLYCERATE MUTASE
ECU10_1070	hypothetical protein
ECU10_1080	DNA POLYMERASE ALPHA SUBUNIT B
ECU10_1090	DNA-binding domain
ECU10_1100	DNAJ-LIKE PROTEIN
ECU10_1110	POLYADENYLATE-BINDING PROTEIN 2
ECU10_1120	TRANSCRIPTION INITIATION FACTOR TFIID 70kDa SUBUNIT
ECU10_1130	ORIGIN RECOGNITION COMPLEX SUBUNIT 2
ECU10_1140	ARF GUANINE NUCLEOTIDE EXCHANGE FACTOR
ECU10_1150	hypothetical protein
ECU10_1160	hypothetical protein
ECU10_1170	DNA REPAIR PROTEIN (RAD14/XPA FAMILY)
ECU10_1180	UBIQUITIN FUSION DEGRADATION PROTEIN 1
