AEWD_010010	serine hydroxymethyltransferase
CWI40_020130	beta subunit of transcription initiation factor IIF
CWI40_020140	ribosomal protein S17
CWI40_020150	S26 type I signal peptidase
CWI40_020160	ribosomal protein L7a
CWI40_020170	ubiquitin
CWI40_020180	poly(A) polymerase
CWI40_020190	putative histone-like transcription factor
CWI40_020200	hypothetical protein
CWI40_020210	hypothetical protein
CWI40_020220	hypothetical protein
CWI40_020230	HscB-like chaperone
CWI40_020240	hypothetical protein
CWI40_020250	dead box helicase
CWI40_020260	hypothetical protein
CWI40_020270	hypothetical protein
CWI40_020280	hypothetical protein
CWI40_020290	hypothetical protein
CWI40_020300	hypothetical protein
CWI40_020310	ribosomal protein L5
CWI40_020320	hypothetical protein
CWI40_020330	hypothetical protein
CWI40_020340	hydroxyacylglutathione hydrolase
CWI40_020350	hypothetical protein
CWI40_020360	hypothetical protein
CWI40_020370	catalytic protein kinase
CWI40_020380	hypothetical protein
CWI40_020400	hypothetical protein
CWI40_020420	subunit delta of TCP-1 chaperonin
CWI40_020430	mitogen-activated protein kinase
CWI40_020440	hypothetical protein
CWI40_020450	hypothetical protein
CWI40_020460	26S proteasome regulatory complex protein
CWI40_020470	hypothetical protein
CWI40_020480	nucleoporin autopeptidase domain-containing protein
CWI40_020490	gamma subunit of transcription initiation factor IIA
CWI40_020500	glutathione peroxidase
CWI40_020510	Sec1-like intracellular trafficking protein
CWI40_020520	hypothetical protein
CWI40_020530	Ras-like GTP binding protein
CWI40_020540	hypothetical protein
CWI40_020550	hypothetical protein
CWI40_020560	hypothetical protein
CWI40_020570	hypothetical protein
CWI40_020580	beta type-3 subunit of proteasome
CWI40_020590	putative E1-E2 ATPase
CWI40_020600	hypothetical protein
CWI40_020610	zinc finger domain-containing protein
CWI40_020620	hypothetical protein
CWI40_020630	small subunit of replication factor C
CWI40_020640	hypothetical protein
CWI40_020650	hypothetical protein
CWI40_020660	GATA zinc finger domain-containing protein
CWI40_020670	putative RNA-binding protein
CWI40_020680	Sof1 domain-containing U3 snoRNP protein
CWI40_020690	hypothetical protein
CWI40_020700	hypothetical protein
CWI40_020710	hypothetical protein
CWI40_020720	Smp2-like plasmid maintenance protein
CWI40_020730	hypothetical protein
CWI40_020740	hypothetical protein
CWI40_020750	hypothetical protein
CWI40_020760	hypothetical protein
CWI40_020770	putative Ran GTPase binding protein
CWI40_020780	hypothetical protein
CWI40_020790	hypothetical protein
CWI40_020800	hypothetical protein
CWI40_020810	Hsp70-like protein
CWI40_020820	hypothetical protein
CWI40_020830	hypothetical protein
CWI40_020850	ribosomal protein S8
CWI40_020860	hypothetical protein
CWI40_020870	ribosomal protein L35Ae
CWI40_020880	hypothetical protein
CWI40_020890	hypothetical protein
CWI40_020900	Suf domain-containing protein
CWI40_020910	thioredoxin reductase
CWI40_020920	hypothetical protein
CWI40_020930	Emp24/gp25L domain-containing protein
CWI40_020940	transport protein particle complex protein
CWI40_020950	hypothetical protein
CWI40_020960	hypothetical protein
CWI40_020970	hypothetical protein
CWI40_020980	hypothetical protein
CWI40_020990	LSM domain-containing protein
CWI40_021000	hypothetical protein
CWI40_021010	hypothetical protein
CWI40_021030	putative nascent polypeptide-associated complex protein
CWI40_021040	subunit alpha of protein prenyltransferase
CWI40_021050	hypothetical protein
CWI40_021060	ubiquitin domain-containing protein
CWI40_021070	Rad3-like DNA-binding helicase
CWI40_021080	heat shock protein 90
CWI40_021090	hypothetical protein
CWI40_021100	protein kinase domain-containing protein
CWI40_021110	microsomal signal peptidase
CWI40_021120	DNA replication licensing factor
CWI40_021130	hypothetical protein
CWI40_021140	nuclear transport factor 2
CWI40_021150	hypothetical protein
CWI40_021160	hypothetical protein
CWI40_021170	homeobox domain-containing protein
CWI40_021180	tRNA synthetase class I
CWI40_021190	DNA ligase
CWI40_021200	Sec23/Sec24-like protein
CWI40_021210	chromosome condensation complex Condensin
CWI40_021220	transcription initiation factor TFIID
CWI40_021230	hypothetical protein
CWI40_021240	mitosis protein Dim1
CWI40_021250	hypothetical protein
CWI40_021260	hypothetical protein
CWI40_021270	dolichyl-phosphate-mannose-protein
CWI40_021280	hypothetical protein
CWI40_021290	hypothetical protein
CWI40_021300	hypothetical protein
CWI40_021310	hypothetical protein
CWI40_021320	transcription factor E2F
CWI40_021330	prolyl-tRNA synthetase
CWI40_021340	trehalase
CWI40_021350	peptidase M48 domain-containing protein
CWI40_021360	hypothetical protein
CWI40_021370	hypothetical protein
CWI40_021380	hypothetical protein
CWI40_021390	subunit A of RAB protein geranylgeranyltransferase
CWI40_021400	hypothetical protein
CWI40_021410	hypothetical protein
CWI40_021420	hypothetical protein
CWI40_021430	serine/threonine kinase
CWI40_021440	Sec23 domain-containing protein
CWI40_021450	prenylated RAB acceptor 1
CWI40_021460	hypothetical protein
CWI40_021480	alanyl-tRNA synthetase
CWI40_021490	subunit A of transcription initiation factor TFIID
CWI40_021500	hypothetical protein
CWI40_021510	putative DEAD-box helicase
CWI40_021520	hypothetical protein
CWI40_021530	putative Per1-like membrane protein
CWI40_021540	amino acid permease
CWI40_021550	hypothetical protein
CWI40_021560	ATP-dependent RNA helicase
CWI40_021570	glycosyltransferase
CWI40_021580	Ca2+-binding protein
CWI40_021590	hypothetical protein
CWI40_021600	RNA-binding protein
CWI40_021610	ribosomal protein S3
CWI40_021620	RIO protein kinase
CWI40_021630	hypothetical protein
CWI40_021640	ribosomal protein S28
CWI40_021650	hypothetical protein
CWI40_021660	hypothetical protein
CWI40_021670	DNA repair protein Mms21
CWI40_021680	histone acetyltransferase
CWI40_021690	endochitinase
CWI40_021700	C-terminal domain of replication factor C
CWI40_021710	hypothetical protein
CWI40_021720	ribosomal protein S15A
CWI40_021730	minichromosome maintenance protein
CWI40_021740	hypothetical protein
CWI40_021750	glutaredoxin
CWI40_021760	ribosome stability and mRNA decay protein
CWI40_021770	DNA helicase TIP49
CWI40_021790	hypothetical protein
CWI40_021800	hypothetical protein
CWI40_021810	P-type ATPase
CWI40_021820	Rab GTPase
CWI40_021830	hypothetical protein
CWI40_021840	hypothetical protein
CWI40_021850	hypothetical protein
CWI40_021860	hypothetical protein
CWI40_021870	hypothetical protein
CWI40_021880	hypothetical protein
CWI40_021890	hypothetical protein
CWI40_030020	vacuolar import and degradation protein
CWI40_030030	putative GTPase-activating protein
CWI40_030040	Rho/Rac/Cdc42-like GTPase guanine nucleotide exchange factor
CWI40_030050	MutS-like mismatch repair ATPase
CWI40_030060	synaptobrevin/VAMP-like protein
CWI40_030070	heat shock protein 70
CWI40_030080	hypothetical protein
CWI40_030090	subunit C of vacuolar H+-ATPase V1
CWI40_030100	subunit M of DNA-directed RNA polymerase
CWI40_030110	subunit 2 of splicing factor 3a
CWI40_030120	ADP-ribosylation factor-like GTPase
CWI40_030130	sirtuin-like protein
CWI40_030140	hypothetical protein
CWI40_030150	subunit B of DNA-directed RNA polymerase
CWI40_030160	WD40 domain-containing protein
CWI40_030170	Spt16/Cdc68-like protein
CWI40_030180	hypothetical protein
CWI40_030190	hypothetical protein
CWI40_030200	ABCG-like transporter
CWI40_030210	hypothetical protein
CWI40_030220	hypothetical protein
CWI40_030230	hypothetical protein
CWI40_030240	U6 snRNA associated Sm-like protein
CWI40_030260	hypothetical protein
CWI40_030270	phosphatidylinositol-4-phosphate 5-kinase
CWI40_030290	ribosomal protein L13
CWI40_030300	ribosomal protein S16
CWI40_030310	subunit F of V-type ATPase
CWI40_030320	SCF ubiquitin ligase Skp1-like protein
CWI40_030330	large subunit Rpb1 of RNA polymerase II
CWI40_030340	UTP-glucose-1-phosphate uridylyltransferase
CWI40_030350	subunit gamma of vesicle coat complex
CWI40_030360	hypothetical protein
CWI40_030370	hypothetical protein
CWI40_030380	MdlB-like ABC transporter
CWI40_030390	ribosomal protein L31e
CWI40_030400	subunit alpha of T-complex protein 1
CWI40_030410	Psp1-like protein
CWI40_030420	Mg-dependent DNase
CWI40_030430	hypothetical protein
CWI40_030440	chromatin organization modifier protein
CWI40_030450	hypothetical protein
CWI40_030460	hypothetical protein
CWI40_030470	nucleotide sugar transporter
CWI40_030480	hypothetical protein
CWI40_030490	putative transcription initiation factor IIF auxiliary protein
CWI40_030500	ankyrin-like protein
CWI40_030510	hypothetical protein
CWI40_030520	Ca2+-binding protein
CWI40_030530	Rho-like GTPase
CWI40_030540	hypothetical protein
CWI40_030550	Snf2-like DNA/RNA helicase
CWI40_030560	WD40 domain-containing protein
CWI40_030570	subunit B of CCAAT-binding transcription factor
CWI40_030580	hypothetical protein
CWI40_030590	hypothetical protein
CWI40_030600	ribosomal protein L18
CWI40_030610	hypothetical protein
CWI40_030620	hypothetical protein
CWI40_030630	histone H3
CWI40_030640	hypothetical protein
CWI40_030650	tRNA nucleotidyltransferase/poly(A) polymerase
CWI40_030660	Rab GTPase
CWI40_030670	hypothetical protein
CWI40_030680	Cdc48-like ATPase
CWI40_030690	hypothetical protein
CWI40_030700	homeobox domain-containing protein
CWI40_030710	putative sugar kinase
CWI40_030720	PelA-like RNA-binding protein
CWI40_030730	histone deacetylase
CWI40_030740	Myg1-like protein
CWI40_030750	hypothetical protein
CWI40_030760	regulatory subunit of ATP-dependent 26S proteasome
CWI40_030780	hypothetical protein
CWI40_030790	molybdopterin biosynthesis protein MoeB
CWI40_030800	hypothetical protein
CWI40_030810	cytidylate kinase
CWI40_030820	hypothetical protein
CWI40_030830	hypothetical protein
CWI40_030840	adenine nucleotide alpha hydrolase
CWI40_030850	hypothetical protein
CWI40_030860	ribosomal protein L3
CWI40_030870	hypothetical protein
CWI40_030880	peroxiredoxin
CWI40_030890	peptidase S8-like protein
CWI40_030900	hypothetical protein
CWI40_030910	homeodomain-containing transcription factor
CWI40_030920	Sac-like phosphoinositide polyphosphatase
CWI40_030930	calponin
CWI40_030940	hypothetical protein
CWI40_030950	DNA repair Rad51-like protein
CWI40_030960	putative subunit of V-type ATP synthase
CWI40_030970	hypothetical protein
CWI40_030980	N-myristoyl transferase
CWI40_030990	hypothetical protein
CWI40_031000	phosphatidylinositol 4-kinase
CWI40_031020	hypothetical protein
CWI40_031030	flap endonuclease 1
CWI40_031040	large chain of transcription initiation factor IIA
CWI40_031050	hypothetical protein
CWI40_031060	hypothetical protein
CWI40_031070	putative subunit of transcription initiation factor TFIIIB
CWI40_031080	Cdc6-like protein
CWI40_031090	hypothetical protein
CWI40_031100	14-3-3-like signal transduction protein
CWI40_031110	hypothetical protein
CWI40_031120	SCP/PR1 domain-containing protein
CWI40_031130	serine/threonine protein kinase
CWI40_031140	hypothetical protein
CWI40_031150	hypothetical protein
CWI40_031160	ribosomal protein L7
CWI40_031170	putative G2/M transition transcriptional factor
CWI40_031180	ubiquitin-activating enzyme E1
CWI40_031190	putative tRNA-intron endonuclease
CWI40_031200	protein kinase
CWI40_031210	Sec1-like intracellular trafficking protein
CWI40_031220	haspin serine/threonine kinase
CWI40_031230	hypothetical protein
CWI40_031240	hypothetical protein
CWI40_031250	hypothetical protein
CWI40_031260	hypothetical protein
CWI40_031270	small nuclear ribonucleoprotein
CWI40_031280	hypothetical protein
CWI40_031290	beta-tubulin
CWI40_031300	putative sedlin
CWI40_031310	ubiquitin-related modifier-like protein
CWI40_031320	hypothetical protein
CWI40_031330	hypothetical protein
CWI40_031340	hypothetical protein
CWI40_031350	RNA-binding protein
CWI40_031360	RNA-binding protein
CWI40_031370	RNA binding domain-containing protein
CWI40_031380	ribosomal protein L34
CWI40_031390	exoribonuclease R
CWI40_031400	hypothetical protein
CWI40_031410	ATP-dependent 6-phosphofructokinase
CWI40_031420	ribonuclease HII
CWI40_031430	isopeptidase T
CWI40_031440	ribosomal protein S14
CWI40_031450	hypothetical protein
CWI40_031460	protein kinase
CWI40_031470	homeodomain-containing transcription factor
CWI40_031480	Rab GTPase-interacting Golgi membrane protein
CWI40_031490	ubiquitin carboxyl-terminal hydrolase
CWI40_040020	PCI domain-containing protein
CWI40_040030	hypothetical protein
CWI40_040040	hypothetical protein
CWI40_040050	translation initiation factor IF-2
CWI40_040060	hypothetical protein
CWI40_040070	hypothetical protein
CWI40_040080	hypothetical protein
CWI40_040090	hypothetical protein
CWI40_040100	hypothetical protein
CWI40_040110	ER translocation protein Sec61
CWI40_040120	O-sialoglycoprotein endopeptidase
CWI40_040130	HrpA-like helicase
CWI40_040140	hypothetical protein
CWI40_040150	Rab GTPase
CWI40_040160	hypothetical protein
CWI40_040170	hypothetical protein
CWI40_040180	hypothetical protein
CWI40_040190	hypothetical protein
CWI40_040200	hypothetical protein
CWI40_040210	hypothetical protein
CWI40_040220	hypothetical protein
CWI40_040230	hypothetical protein
CWI40_040240	hypothetical protein
CWI40_040250	TATA binding protein associated factor 4-like protein
CWI40_040260	hypothetical protein
CWI40_040270	hypothetical protein
CWI40_040280	Ca2+-binding actin-bundling fimbrin/plastin
CWI40_040290	hypothetical protein
CWI40_040300	telomerase reverse transcriptase
CWI40_040310	hypothetical protein
CWI40_040320	subunit alpha of proteasome
CWI40_040330	DWNN ubiquitin-like domain-containing protein
CWI40_040340	pre-ribosome nuclear export protein
CWI40_040350	hypothetical protein
CWI40_040360	hypothetical protein
CWI40_040370	hypothetical protein
CWI40_040380	ribosomal protein L39
CWI40_040390	subunit alpha of mRNA capping enzyme
CWI40_040410	superfamily II DNA/RNA helicase
CWI40_040420	hypothetical protein
CWI40_040430	hypothetical protein
CWI40_040440	type-B delta catalytic subunit of DNA polymerase
CWI40_040450	histone H4
CWI40_040460	histone H3
CWI40_040470	hypothetical protein
CWI40_040480	hypothetical protein
CWI40_040490	subunit beta of T complex protein 1
CWI40_040500	hypothetical protein
CWI40_040510	hypothetical protein
CWI40_040520	hypothetical protein
CWI40_040530	hypothetical protein
CWI40_040540	hypothetical protein
CWI40_040550	ribosomal protein S29
CWI40_040560	hypothetical protein
CWI40_040570	ribosomal protein S5
CWI40_040580	hypothetical protein
CWI40_040590	hypothetical protein
CWI40_040610	hypothetical protein
CWI40_040620	transcription elongation factor S-II
CWI40_040630	hypothetical protein
CWI40_040650	protein phosphatase 2A
CWI40_040660	putative glucose transporter
CWI40_040670	SAGA/ADA complex histone acetyltransferase
CWI40_040680	hypothetical protein
CWI40_040690	HrpA-like helicase
CWI40_040700	DHHC-type Zn finger domain-containing protein
CWI40_040710	hypothetical protein
CWI40_040720	RNA polymerase II transcription factor
CWI40_040730	hypothetical protein
CWI40_040740	protein tyrosine phosphatase
CWI40_040750	26S proteasome regulatory complex protein
CWI40_040760	hypothetical protein
CWI40_040770	ribosomal protein L27
CWI40_040780	hypothetical protein
CWI40_040790	DNA topoisomerase II
CWI40_040800	hypothetical protein
CWI40_040810	hypothetical protein
CWI40_040820	hypothetical protein
CWI40_040830	hypothetical protein
CWI40_040840	heat shock transcription factor
CWI40_040850	hypothetical protein
CWI40_040860	hypothetical protein
CWI40_040870	non-ATPase subunit 7 of 26S proteasome
CWI40_040880	hypothetical protein
CWI40_040890	hypothetical protein
CWI40_040900	ribosomal protein SA
CWI40_040910	dimethyladenosine transferase
CWI40_040920	hypothetical protein
CWI40_040930	MdlB-type ABC transporter
CWI40_040940	hypothetical protein
CWI40_040950	E3 ubiquitin-protein ligase
CWI40_040960	hypothetical protein
CWI40_040970	putative RNA-binding protein
CWI40_040980	hypothetical protein
CWI40_041000	uridine diphosphate-N-acetylglucosamine
CWI40_041010	hypothetical protein
CWI40_041020	hypothetical protein
CWI40_041030	lysyl-tRNA synthetase
CWI40_041040	X-prolyl aminopeptidase
CWI40_041050	hypothetical protein
CWI40_041060	putative methyltransferase
CWI40_041070	ubiquitin-conjugating enzyme E2
CWI40_041080	ribosomal protein S11
CWI40_041090	putative lipase
CWI40_041100	putative dolichol kinase
CWI40_041110	Rab11-like GTPase
CWI40_041120	vacuolar protein sorting-associated protein
CWI40_041130	PP2A-like phosphoprotein phosphatase
CWI40_041140	mitotic phase inducer phosphatase
CWI40_041150	peptidyl-tRNA hydrolase
CWI40_041160	putative 6-phosphogluconolactonase
CWI40_041170	ribosomal protein L22
CWI40_041180	seryl-tRNA synthetase
CWI40_041190	subunit of U5 snRNP spliceosome
CWI40_041200	hypothetical protein
CWI40_041210	translation initiation factor 6
CWI40_041220	Sm-like ribonucleoprotein
CWI40_041230	hypothetical protein
CWI40_041240	Ca2+-binding protein
CWI40_041250	Nop56p-like protein
CWI40_041260	hypothetical protein
CWI40_041270	asparagine synthase
CWI40_041280	minichromosome maintenance protein
CWI40_041290	hypothetical protein
CWI40_041300	cohesin
CWI40_041310	hypothetical protein
CWI40_041320	pseudouridine synthase
CWI40_041330	subunit beta of phenylalanyl-tRNA synthetase
CWI40_041340	superfamily II RNA helicase
CWI40_041360	hypothetical protein
CWI40_041370	chromosome segregation ATPase
CWI40_041380	subunit of endoplasmic reticulum translocation complex
CWI40_041390	subunit of transcription initiation factor TFIID
CWI40_041400	hypothetical protein
CWI40_041410	homeodomain-containing protein
CWI40_041420	signal recognition particle GTPase
CWI40_041430	hypothetical protein
CWI40_041440	myosin heavy chain
CWI40_041450	ribosomal protein L29e
CWI40_041460	hypothetical protein
CWI40_041470	ribosomal protein S27
CWI40_041480	subunit theta of T-complex protein 1
CWI40_041490	homeodomain-containing protein
CWI40_041500	hypothetical protein
CWI40_041510	hypothetical protein
CWI40_041520	dolichol-phosphate mannosyltransferase
CWI40_041530	topoisomerase IA
CWI40_041540	hypothetical protein
CWI40_041550	actin-like protein
CWI40_041560	translation elongation factor EF-1 alpha
CWI40_041570	subunit A of DNA topoisomerase VI
CWI40_041580	hypothetical protein
CWI40_041590	alpha-1,2 mannosyl-transferase
CWI40_041600	valyl-tRNA synthetase
CWI40_041610	hypothetical protein
CWI40_041620	subunit beta of pyruvate dehydrogenase
CWI40_041630	translation initiation factor IF1A
CWI40_041640	amino acid permease
CWI40_041650	SWIB domain-containing protein
CWI40_041660	ubiquitin fusion degradation protein 2
CWI40_041670	thymidylate kinase
CWI40_041680	hypothetical protein
CWI40_041690	hypothetical protein
CWI40_041700	WD40 domain-containing protein
CWI40_041710	nuclear protein export factor
CWI40_041720	hypothetical protein
CWI40_041730	lysophospholipid acyltransferase
CWI40_041740	superfamily II RNA helicase
CWI40_041750	putative RNA-binding protein
CWI40_041760	ribosomal protein L32
CWI40_041770	hypothetical protein
CWI40_041780	hypothetical protein
CWI40_041790	hypothetical protein
CWI40_041800	hypothetical protein
CWI40_041810	ribosomal protein S10
CWI40_041820	hypothetical protein
CWI40_041830	hypothetical protein
CWI40_041840	ribosomal protein L13a
CWI40_041850	hypothetical protein
CWI40_041860	subunit beta' of DNA-directed RNA polymerase
CWI40_041880	hypothetical protein
CWI40_041900	hypothetical protein
CWI40_041910	hypothetical protein
CWI40_041920	hypothetical protein
CWI40_041930	hypothetical protein
CWI40_041940	TATA-box binding protein
CWI40_041950	hypothetical protein
CWI40_041960	hypothetical protein
CWI40_041970	Na+/H+ antiporter
CWI40_041980	Zn-finger protein
CWI40_041990	hypothetical protein
CWI40_042000	regulator of chromosome condensation
CWI40_042010	tRNA-binding domain-containing CsaA-like protein
CWI40_042020	hypothetical protein
CWI40_042030	GTPase activating protein
CWI40_042040	hypothetical protein
CWI40_042050	subunit beta of mRNA capping enzyme
CWI40_042060	GTP-binding nuclear protein
CWI40_042070	hypothetical protein
CWI40_042080	hypothetical protein
CWI40_042090	hypothetical protein
CWI40_042100	hypothetical protein
CWI40_042110	hypothetical protein
CWI40_042120	hypothetical protein
CWI40_042130	hypothetical protein
CWI40_042140	hypothetical protein
CWI40_050020	cyclin-dependent protein kinase
CWI40_050030	regulatory subunit of ATP-dependent 26S proteasome
CWI40_050040	hypothetical protein
CWI40_050050	subunit D of vacuolar-type H+-ATPase
CWI40_050060	hypothetical protein
CWI40_050080	ribosomal protein L23
CWI40_050090	signal recognition particle GTPase
CWI40_050100	ribose 5-phosphate isomerase
CWI40_050110	subunit Rpn7 of 26S proteasome regulatory complex
CWI40_050130	hypothetical protein
CWI40_050140	subunit C34 of DNA-directed RNA polymerase III
CWI40_050150	hypothetical protein
CWI40_050160	hypothetical protein
CWI40_050170	subunit gamma of T-complex protein 1
CWI40_050180	subunit B of DNA-directed RNA polymerase
CWI40_050190	histone H3/H4-like protein
CWI40_050200	RNase PH-like protein
CWI40_050210	putative P-loop ATPase/acetyltransferase fusion protein
CWI40_050220	U1 snRNP-specific protein C
CWI40_050240	acyl-CoA cholesterol acyltransferase
CWI40_050250	1-acyl-SN-glycerol-3-phosphate acyltransferase
CWI40_050260	kinesin-like protein
CWI40_050270	hypothetical protein
CWI40_050280	inorganic pyrophosphatase
CWI40_050290	Rho GTPase
CWI40_050300	hypothetical protein
CWI40_050310	putative actin depolymerization factor
CWI40_050320	hypothetical protein
CWI40_050330	mRNA capping enzyme
CWI40_050340	hypothetical protein
CWI40_050350	ribosomal protein S23
CWI40_050360	regulatory complex subunit of 26S proteasome
CWI40_050370	ATP/ADP translocase
CWI40_050380	hypothetical protein
CWI40_050390	ATP-dependent rRNA helicase
CWI40_050400	hypothetical protein
CWI40_050420	fragile histidine family hydrolase
CWI40_050430	hypothetical protein
CWI40_050440	hypothetical protein
CWI40_050450	ATP/ADP translocase
CWI40_050460	uracil-DNA glycosylase
CWI40_050470	ATP/ADP translocase
CWI40_050480	subunit alpha of 20S proteasome
CWI40_050490	putative short chain dehydrogenase
CWI40_050500	AGC serine/threonine kinase
CWI40_050510	putative TFIIF-interacting CTD phosphatase
CWI40_050520	phosphoinositide 3-kinase
CWI40_050530	replication factor A protein 1
CWI40_050540	hypothetical protein
CWI40_050550	importin
CWI40_050560	subunit eta of T-complex protein 1
CWI40_050570	dynein heavy chain
CWI40_050580	hypothetical protein
CWI40_050590	MYST histone acetyltransferase
CWI40_050600	ribosomal biogenesis protein
CWI40_050610	HrpA-like helicase
CWI40_050620	ATP-dependent RNA helicase
CWI40_050630	subunit of translation initiation factor 2B
CWI40_050640	MutS-like mismatch repair ATPase
CWI40_050650	hypothetical protein
CWI40_050660	hypothetical protein
CWI40_050670	methionine aminopeptidase 2
CWI40_050680	hypothetical protein
CWI40_050690	subunit of transcription initiation factor TFIID
CWI40_050700	hypothetical protein
CWI40_050710	small subunit of replication factor C
CWI40_050720	hypothetical protein
CWI40_050730	putative methyltransferase
CWI40_050740	hypothetical protein
CWI40_050750	chromosome segregation protein
CWI40_050760	fibrillarin
CWI40_050770	HMG-like nuclear protein
CWI40_050780	subunit of U1 snRNP
CWI40_050790	hypothetical protein
CWI40_050800	hypothetical protein
CWI40_050810	glycerol-3-phosphate dehydrogenase
CWI40_050820	hypothetical protein
CWI40_050830	putative RNA-processing beta-lactamase
CWI40_050840	long-chain acyl-CoA synthetase
CWI40_050850	ribonucleoside-diphosphate reductase
CWI40_050860	ubiquitin-conjugating enzyme
CWI40_050870	hypothetical protein
CWI40_050880	putative kinase
CWI40_050890	hypothetical protein
CWI40_050900	hypothetical protein
CWI40_050910	ribosomal protein L27
CWI40_050920	kinesin-like protein
CWI40_050930	hypothetical protein
CWI40_050940	hypothetical protein
CWI40_050950	hypothetical protein
CWI40_050970	subunit B of V-type ATP synthase
CWI40_050980	DNA directed RNA polymerase
CWI40_050990	hypothetical protein
CWI40_051000	phosphoglyceromutase
CWI40_051010	hypothetical protein
CWI40_051020	subunit B of DNA polymerase alpha
CWI40_051030	chromatin remodeling protein
CWI40_051040	DnaJ-like protein
CWI40_051050	polyadenylate-binding protein
CWI40_051070	subunit of transcription initiation factor TFIID
CWI40_051080	subunit 2 of origin recognition complex
CWI40_051090	guanine nucleotide exchange factor
CWI40_051100	hypothetical protein
CWI40_051110	hypothetical protein
CWI40_051120	hypothetical protein
CWI40_051130	Rad14-like DNA excision repair protein
CWI40_051140	ubiquitin fusion-degradation protein
CWI40_051150	hypothetical protein
CWI40_051160	subunit beta of casein kinase II
CWI40_051170	DNA polymerase epsilon
CWI40_051180	hypothetical protein
CWI40_051190	importin beta
CWI40_051200	hypothetical protein
CWI40_051210	lysophospholipid acyltransferase
CWI40_051220	PP2A-like protein phosphatase
CWI40_051230	hypothetical protein
CWI40_051240	ribosomal protein L44
CWI40_051250	ubiquitin-conjugating enzyme E2
CWI40_051260	SNF2-like helicase
CWI40_051270	ubiquitin carboxyl-terminal hydrolase
CWI40_051290	hypothetical protein
CWI40_051300	hypothetical protein
CWI40_051310	nucleotide excision repair endonuclease Nef1
CWI40_051320	Rrp4-like RNA-binding protein
CWI40_051330	putative RNA-processing beta-lactamase
CWI40_051340	hypothetical protein
CWI40_051350	phosphatidylinositol 5-phosphate phosphatase
CWI40_051360	ubiquitin-protein ligase
CWI40_051370	hypothetical protein
CWI40_051380	hypothetical protein
CWI40_051390	hypothetical protein
CWI40_051400	regulatory subunit of ATP-dependent 26S proteasome
CWI40_051410	chromatin remodeling transcription factor
CWI40_051420	PAP2-like phosphatidic acid phosphatase
CWI40_051430	beta type-6 subunit of proteasome
CWI40_051440	glutaminyl-tRNA synthetase
CWI40_051450	hypothetical protein
CWI40_051460	insulinase-like Zn-dependent peptidase
CWI40_051470	putative homeodomain-containing transcription factor
CWI40_051480	hypothetical protein
CWI40_051490	hypothetical protein
CWI40_051500	hypothetical protein
CWI40_051510	putative zinc finger protein
CWI40_051520	White-like ABC transporter
CWI40_051530	hypothetical protein
CWI40_051540	ubiquitin-protein ligase
CWI40_051550	hypothetical protein
CWI40_051560	ribosomal protein S24
CWI40_051570	ribosomal protein S30
CWI40_051580	subunit D2 of Sm-like ribonucleoprotein
CWI40_051590	choline-phosphate cytidylyltransferase
CWI40_051600	Mnd1-like meiotic recombination protein
CWI40_051610	hypothetical protein
CWI40_051620	hypothetical protein
CWI40_051630	hypothetical protein
CWI40_051640	hypothetical protein
CWI40_051650	spore wall protein Swp1b
CWI40_051660	ATP-dependent RNA helicase
CWI40_051670	enolase
CWI40_051680	hypothetical protein
CWI40_051690	dynamin-like vacuolar protein-sorting protein
CWI40_051700	hypothetical protein
CWI40_051710	hypothetical protein
CWI40_051720	cellular morphogenesis/cytokinesis regulation
CWI40_051730	Spc97/Spc98-like spindle pole body protein
CWI40_051740	cyclophilin-type peptidylprolyl cis-trans
CWI40_051750	leucyl aminopeptidase
CWI40_051760	hypothetical protein
CWI40_051770	glycyl-tRNA synthetase
CWI40_051780	hypothetical protein
CWI40_051790	hypothetical protein
CWI40_051800	hypothetical protein
CWI40_051810	elongation factor 3
CWI40_051820	putative DNA primase
CWI40_051830	putative subunit of t-SNARE complex
CWI40_051840	putative G10 protein
CWI40_051850	putative gamma-glutamyltransferase
CWI40_051860	hypothetical protein
CWI40_051870	putative ATP-dependent RNA helicase
CWI40_051880	putative subunit of Mre11
CWI40_051890	hypothetical protein
CWI40_051900	hypothetical protein
CWI40_051910	LSM domain-containing protein
CWI40_051920	ribosomal protein S4-like protein
CWI40_051930	putative DNA replication protein kinase
CWI40_051940	alpha subunit of proteasome
CWI40_051950	PUA domain-containing protein
CWI40_051970	putative nucleotidyl transferase
CWI40_051980	putative Zn-dependent protease
CWI40_051990	glutaredoxin domain-containing protein
CWI40_052000	peptidase M48 domain-containing protein
CWI40_052010	putative alpha subunit of proteasome
CWI40_052020	hypothetical protein
CWI40_052030	hypothetical protein
CWI40_052040	hypothetical protein
CWI40_052050	hypothetical protein
CWI40_052060	hypothetical protein
CWI40_052070	hypothetical protein
CWI40_052080	hypothetical protein
CWI40_052090	hypothetical protein
CWI40_052100	ribosomal protein L30E
CWI40_052110	hypothetical protein
CWI40_052120	hypothetical protein
CWI40_052130	protein kinase domain-containing protein
CWI40_052140	acyl-CoA thioesterase domain-containing protein
CWI40_052150	DNA replication factor RFC1
CWI40_052160	PCI domain-containing protein
CWI40_052170	hypothetical protein
CWI40_060010	putative zinc finger protein
CWI40_060020	hypothetical protein
CWI40_060030	hypothetical protein
CWI40_060040	hypothetical protein
