
GenomeNet icon	
LinkDB Search


Mode: Single Entry to Database
From: KEGG GENOME T01330
To: KEGG GENES
vcn:VOLCADRAFT_59188 hypothetical protein; K14313 nuclear pore complex protein Nup53 
vcn:VOLCADRAFT_59193 hypothetical protein 
vcn:VOLCADRAFT_59216 hypothetical protein; K05925 mRNA (2'-O-methyladenosine-N6-)-methyltransferase [EC:2.1.1.62] 
vcn:VOLCADRAFT_59220 FBB117; hypothetical protein 
vcn:VOLCADRAFT_59221 hypothetical protein 
vcn:VOLCADRAFT_59226 hypothetical protein; K00783 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177] 
vcn:VOLCADRAFT_59234 flagellar inner dynein arm heavy chain 11 
vcn:VOLCADRAFT_59236 hypothetical protein 
vcn:VOLCADRAFT_59247 hypothetical protein 
vcn:VOLCADRAFT_59248 hypothetical protein; K14799 pre-rRNA-processing protein TSR1 
vcn:VOLCADRAFT_59269 hypothetical protein; K00140 malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semi 
vcn:VOLCADRAFT_59290 hypothetical protein 
vcn:VOLCADRAFT_59303 hypothetical protein 
vcn:VOLCADRAFT_59311 hypothetical protein; K00876 uridine kinase [EC:2.7.1.48] 
vcn:VOLCADRAFT_59321 hypothetical protein 
vcn:VOLCADRAFT_59322 hypothetical protein 
vcn:VOLCADRAFT_59325 hypothetical protein; K12811 ATP-dependent RNA helicase DDX46/PRP5 [EC:3.6.4.13] 
vcn:VOLCADRAFT_59329 hypothetical protein 
vcn:VOLCADRAFT_59332 hypothetical protein 
vcn:VOLCADRAFT_59336 hypothetical protein; K03801 lipoyl(octanoyl) transferase [EC:2.3.1.181] 
vcn:VOLCADRAFT_59341 hypothetical protein; K00858 NAD+ kinase [EC:2.7.1.23] 
vcn:VOLCADRAFT_59350 cyc17; guanylyl and adenylyl cyclase family member 
vcn:VOLCADRAFT_59353 hypothetical protein 
vcn:VOLCADRAFT_59361 cnk2; NimA-related protein kinase 2; K08857 NIMA (never in mitosis gene a)-related kinase [EC:2.7.11 
vcn:VOLCADRAFT_59362 hypothetical protein; K13131 ATP-dependent RNA helicase DDX20 [EC:3.6.4.13] 
vcn:VOLCADRAFT_59371 hypothetical protein; K11968 ariadne-1 
vcn:VOLCADRAFT_59445 hypothetical protein; K01595 phosphoenolpyruvate carboxylase [EC:4.1.1.31] 
vcn:VOLCADRAFT_59455 hypothetical protein 
vcn:VOLCADRAFT_59470 eif2C; eukaryotic translation initiation factor 2B alpha; K08963 methylthioribose-1-phosphate isomer 
vcn:VOLCADRAFT_59473 hypothetical protein; K01641 hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10] 
vcn:VOLCADRAFT_59478 hypothetical protein 
vcn:VOLCADRAFT_59482 hypothetical protein 
vcn:VOLCADRAFT_59517 hypothetical protein; K12869 crooked neck 
vcn:VOLCADRAFT_59532 hypothetical protein 
vcn:VOLCADRAFT_59540 hypothetical protein; K10144 RING finger and CHY zinc finger domain-containing protein 1 [EC:6.3.2.1 
vcn:VOLCADRAFT_59555 phV12; extracellular matrix glycoprotein pherophorin-V12 
vcn:VOLCADRAFT_59573 mrpS7; mitochondrial ribosomal protein S7; K02992 small subunit ribosomal protein S7 
vcn:VOLCADRAFT_59577 hypothetical protein 
vcn:VOLCADRAFT_59582 hypothetical protein; K10844 DNA excision repair protein ERCC-2 [EC:3.6.4.12] 
vcn:VOLCADRAFT_59590 mapk7; hypothetical protein; K08829 male germ cell-associated kinase [EC:2.7.11.22] 
vcn:VOLCADRAFT_59597 hypothetical protein; K01056 peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29] 
vcn:VOLCADRAFT_59625 rpl14; ribosomal protein L14 component of cytosolic 80S ribosome and 60S large subunit; K02875 large 
vcn:VOLCADRAFT_59636 myb12; transcription factor Myb12 
vcn:VOLCADRAFT_59680 hypothetical protein 
vcn:VOLCADRAFT_59734 lzy1b-1; hypothetical protein 
vcn:VOLCADRAFT_59735 hypothetical protein 
vcn:VOLCADRAFT_59764 hypothetical protein 
vcn:VOLCADRAFT_59785 clpD; ClpD chaperone, Hsp100 family 
vcn:VOLCADRAFT_59795 hypothetical protein; K14397 cleavage and polyadenylation specificity factor subunit 5 
vcn:VOLCADRAFT_59807 hypothetical protein; K02201 pantetheine-phosphate adenylyltransferase [EC:2.7.7.3] 
vcn:VOLCADRAFT_59825 hypothetical protein; K06892 
vcn:VOLCADRAFT_59828 hypothetical protein 
vcn:VOLCADRAFT_59831 hypothetical protein 
vcn:VOLCADRAFT_59832 hypothetical protein 
vcn:VOLCADRAFT_59855 hypothetical protein 
vcn:VOLCADRAFT_59885 hypothetical protein 
vcn:VOLCADRAFT_59899 hypothetical protein; K14554 U3 small nucleolar RNA-associated protein 21 
vcn:VOLCADRAFT_59904 hypothetical protein 
vcn:VOLCADRAFT_59905 hypothetical protein; K10085 ER degradation enhancer, mannosidase alpha-like 2 
vcn:VOLCADRAFT_59909 hypothetical protein 
vcn:VOLCADRAFT_59916 hypothetical protein; K11416 mono-ADP-ribosyltransferase sirtuin 6 [EC:2.4.2.31] 
vcn:VOLCADRAFT_59940 okl1; hypothetical protein; K14498 serine/threonine-protein kinase SRK2 [EC:2.7.11.1] 
vcn:VOLCADRAFT_59941 pde12; 3'5'-cyclic nucleotide phosphodiesterase; K13755 calcium/calmodulin-dependent 3',5'-cyclic nu 
vcn:VOLCADRAFT_59957 hypothetical protein 
vcn:VOLCADRAFT_59959 hypothetical protein 
vcn:VOLCADRAFT_59964 hypothetical protein; K00253 isovaleryl-CoA dehydrogenase [EC:1.3.8.4] 
vcn:VOLCADRAFT_59967 hypothetical protein; K07962 ADP-ribosylation factor-like protein 13B 
vcn:VOLCADRAFT_59975 hypothetical protein; K11418 histone deacetylase 11 [EC:3.5.1.98] 
vcn:VOLCADRAFT_59982 hypothetical protein; K14164 glycyl-tRNA synthetase [EC:6.1.1.14] 
vcn:VOLCADRAFT_59985 hypothetical protein; K03510 DNA polymerase iota [EC:2.7.7.7] 
vcn:VOLCADRAFT_60008 hypothetical protein 
vcn:VOLCADRAFT_60020 hypothetical protein; K05290 phosphatidylinositol glycan, class K [EC:2.6.-.-] 
vcn:VOLCADRAFT_60048 hypothetical protein 
vcn:VOLCADRAFT_60049 hypothetical protein; K14859 ribosome biogenesis protein SSF1/2 
vcn:VOLCADRAFT_60063 hypothetical protein; K14776 ATP-dependent RNA helicase DDX10/DBP4 [EC:3.6.4.13] 
vcn:VOLCADRAFT_60069 kinesin-like protein 
vcn:VOLCADRAFT_60073 hypothetical protein; K12625 U6 snRNA-associated Sm-like protein LSm6 
vcn:VOLCADRAFT_60093 hypothetical protein 
vcn:VOLCADRAFT_60094 hypothetical protein; K00555 tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1. 
vcn:VOLCADRAFT_60120 hypothetical protein 
vcn:VOLCADRAFT_60121 hypothetical protein; K12833 pre-mRNA branch site protein p14 
vcn:VOLCADRAFT_60125 hypothetical protein; K01634 sphinganine-1-phosphate aldolase [EC:4.1.2.27] 
vcn:VOLCADRAFT_60151 hypothetical protein; K02707 photosystem II cytochrome b559 subunit alpha 
vcn:VOLCADRAFT_60154 hypothetical protein; K16276 zinc finger protein-like protein 
vcn:VOLCADRAFT_60173 drp5B; dynamin-related GTPase 
vcn:VOLCADRAFT_60175 hypothetical protein 
vcn:VOLCADRAFT_60205 hypothetical protein 
vcn:VOLCADRAFT_60209 hypothetical protein 
vcn:VOLCADRAFT_60238 hypothetical protein; K05546 alpha 1,3-glucosidase [EC:3.2.1.84] 
vcn:VOLCADRAFT_60257 hypothetical protein 
vcn:VOLCADRAFT_60268 hypothetical protein 
vcn:VOLCADRAFT_60269 hypothetical protein; K00059 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] 
vcn:VOLCADRAFT_60296 hypothetical protein 
vcn:VOLCADRAFT_60307 hypothetical protein 
vcn:VOLCADRAFT_60309 hypothetical protein 
vcn:VOLCADRAFT_60315 hypothetical protein; K15192 TATA-binding protein-associated factor [EC:3.6.4.-] 
vcn:VOLCADRAFT_60325 hypothetical protein 
vcn:VOLCADRAFT_60342 hypothetical protein; K14806 ATP-dependent RNA helicase DDX31/DBP7 [EC:3.6.4.13] 
vcn:VOLCADRAFT_60348 hypothetical protein 
vcn:VOLCADRAFT_60352 hypothetical protein 
vcn:VOLCADRAFT_60379 RabA/Rab11; K07904 Ras-related protein Rab-11A 
vcn:VOLCADRAFT_60384 hypothetical protein 
vcn:VOLCADRAFT_60391 hypothetical protein 
vcn:VOLCADRAFT_60393 hypothetical protein 
vcn:VOLCADRAFT_60395 tubD; delta tubulin; K10390 tubulin delta 
vcn:VOLCADRAFT_60400 hypothetical protein; K01551 arsenite-transporting ATPase [EC:3.6.3.16] 
vcn:VOLCADRAFT_60404 hypothetical protein; K00058 D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95] 
vcn:VOLCADRAFT_60417 hypothetical protein 
vcn:VOLCADRAFT_60422 hypothetical protein; K12197 charged multivesicular body protein 1 
vcn:VOLCADRAFT_60450 hypothetical protein 
vcn:VOLCADRAFT_60471 pde7; 3'5'-cyclic nucleotide phosphodiesterase 
vcn:VOLCADRAFT_60479 hypothetical protein 
vcn:VOLCADRAFT_60480 hypothetical protein 
vcn:VOLCADRAFT_60499 hypothetical protein 
vcn:VOLCADRAFT_60514 vmp22; metalloproteinase, extracellular matrix glycoprotein VMP22 
vcn:VOLCADRAFT_60528 hypothetical protein 
vcn:VOLCADRAFT_60559 Kif12 type kinesin-like protein 
vcn:VOLCADRAFT_60568 phospholipase A2 
vcn:VOLCADRAFT_60569 hypothetical protein 
vcn:VOLCADRAFT_60572 hypothetical protein 
vcn:VOLCADRAFT_60577 hypothetical protein; K01464 dihydropyrimidinase [EC:3.5.2.2] 
vcn:VOLCADRAFT_60587 hypothetical protein 
vcn:VOLCADRAFT_60588 arf1; small Arf-related GTPase; K07950 ADP-ribosylation factor-like protein 5B 
vcn:VOLCADRAFT_60591 hypothetical protein 
vcn:VOLCADRAFT_60611 hypothetical protein 
vcn:VOLCADRAFT_60616 hypothetical protein 
vcn:VOLCADRAFT_60622 hypothetical protein; K06639 cell division cycle 14 [EC:3.1.3.16 3.1.3.48] 
vcn:VOLCADRAFT_60634 hypothetical protein 
vcn:VOLCADRAFT_60635 cdh1; activator and specificity factor for anaphase promoting complex; K03364 cell division cycle 20 
vcn:VOLCADRAFT_60648 hypothetical protein 
vcn:VOLCADRAFT_60653 vmp25; metalloproteinase, extracellular matrix glycoprotein VMP25 
vcn:VOLCADRAFT_60677 hypothetical protein 
vcn:VOLCADRAFT_60687 vmp23; metalloproteinase, extracellular matrix glycoprotein VMP23 
vcn:VOLCADRAFT_60703 hypothetical protein 
vcn:VOLCADRAFT_60718 fap247; hypothetical protein; K08824 cyclin-dependent kinase-like [EC:2.7.11.22] 
vcn:VOLCADRAFT_60731 pathogenesis-related genes transcriptional activator 
vcn:VOLCADRAFT_60754 hypothetical protein 
vcn:VOLCADRAFT_60757 hypothetical protein 
vcn:VOLCADRAFT_60759 hypothetical protein 
vcn:VOLCADRAFT_60763 cyc25; guanylyl and adenylyl cyclase family member 
vcn:VOLCADRAFT_60821 hypothetical protein; K01873 valyl-tRNA synthetase [EC:6.1.1.9] 
vcn:VOLCADRAFT_60846 cyc24; guanylyl and adenylyl cyclase family member 
vcn:VOLCADRAFT_60847 cyc26; guanylyl and adenylyl cyclase family member 
vcn:VOLCADRAFT_60851 hypothetical protein 
vcn:VOLCADRAFT_60865 cot1; cobalt transport protein 
vcn:VOLCADRAFT_60905 hypothetical protein; K00274 monoamine oxidase [EC:1.4.3.4] 
vcn:VOLCADRAFT_60922 hypothetical protein 
vcn:VOLCADRAFT_60933 hypothetical protein; K01079 phosphoserine phosphatase [EC:3.1.3.3] 
vcn:VOLCADRAFT_60940 hypothetical protein 
vcn:VOLCADRAFT_60953 hypothetical protein 
vcn:VOLCADRAFT_60962 hypothetical protein 
vcn:VOLCADRAFT_60971 hypothetical protein 
vcn:VOLCADRAFT_60977 hypothetical protein 
vcn:VOLCADRAFT_60980 hypothetical protein 
vcn:VOLCADRAFT_60981 hypothetical protein; K00648 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180] 
vcn:VOLCADRAFT_61009 pflA; pyruvate formate-lyase activating enzyme 
vcn:VOLCADRAFT_61017 hypothetical protein 
vcn:VOLCADRAFT_61046 stpk22; serine/threonine protein kinase 22 
vcn:VOLCADRAFT_61058 hypothetical protein; K14497 protein phosphatase 2C [EC:3.1.3.16] 
vcn:VOLCADRAFT_61062 hypothetical protein; K07101 
vcn:VOLCADRAFT_61071 hypothetical protein 
vcn:VOLCADRAFT_61085 hypothetical protein 
vcn:VOLCADRAFT_61097 smc4; structural maintenance of chromosomes protein 4; K06675 structural maintenance of chromosome 4 
vcn:VOLCADRAFT_61118 hypothetical protein; K03320 ammonium transporter, Amt family 
vcn:VOLCADRAFT_61165 hypothetical protein; K15109 solute carrier family 25 (mitochondrial carnitine/acylcarnitine transpo 
vcn:VOLCADRAFT_61175 hypothetical protein 
vcn:VOLCADRAFT_61190 hypothetical protein 
vcn:VOLCADRAFT_61191 hypothetical protein 
vcn:VOLCADRAFT_61206 hypothetical protein 
vcn:VOLCADRAFT_61222 hypothetical protein; K03439 tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33] 
vcn:VOLCADRAFT_61227 hypothetical protein 
vcn:VOLCADRAFT_61240 hypothetical protein; K01673 carbonic anhydrase [EC:4.2.1.1] 
vcn:VOLCADRAFT_61248 hypothetical protein 
vcn:VOLCADRAFT_61252 hypothetical protein; K06916 
vcn:VOLCADRAFT_61254 hypothetical protein; K14611 solute carrier family 23 (nucleobase transporter), member 1/2 
vcn:VOLCADRAFT_61255 hypothetical protein 
vcn:VOLCADRAFT_61265 hypothetical protein 
vcn:VOLCADRAFT_61291 hypothetical protein; K01469 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9] 
vcn:VOLCADRAFT_61293 hypothetical protein; K11273 chromosome transmission fidelity protein 1 [EC:3.6.4.13] 
vcn:VOLCADRAFT_61316 pck1; phosphoenolpyruvate carboxykinase 
vcn:VOLCADRAFT_61333 hypothetical protein; K14807 ATP-dependent RNA helicase DDX51/DBP6 [EC:3.6.4.13] 
vcn:VOLCADRAFT_61348 hypothetical protein; K03635 molybdopterin synthase catalytic subunit [EC:2.-.-.-] 
vcn:VOLCADRAFT_61351 hypothetical protein; K14652 3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [ 
vcn:VOLCADRAFT_61353 hypothetical protein 
vcn:VOLCADRAFT_61364 cyc2; guanylyl and adenylyl cyclase family member; K12319 guanylate cyclase soluble subunit beta [EC 
vcn:VOLCADRAFT_61368 hypothetical protein 
vcn:VOLCADRAFT_61378 hypothetical protein; K08867 WNK lysine deficient protein kinase [EC:2.7.11.1] 
vcn:VOLCADRAFT_61382 hypothetical protein 
vcn:VOLCADRAFT_61387 hypothetical protein; K03681 exosome complex component RRP40 
vcn:VOLCADRAFT_61396 hypothetical protein 
vcn:VOLCADRAFT_61422 dal1; allantoinase; K01466 allantoinase [EC:3.5.2.5] 
vcn:VOLCADRAFT_61433 hypothetical protein; K14561 U3 small nucleolar ribonucleoprotein protein IMP4 
vcn:VOLCADRAFT_61462 hypothetical protein; K06067 histone deacetylase 1/2 [EC:3.5.1.98] 
vcn:VOLCADRAFT_61480 hypothetical protein; K10703 very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase [ 
vcn:VOLCADRAFT_61486 hypothetical protein 
vcn:VOLCADRAFT_61491 hypothetical protein; K12736 peptidylprolyl isomerase domain and WD repeat-containing protein 1 [EC: 
vcn:VOLCADRAFT_61514 hypothetical protein; K09680 type II pantothenate kinase [EC:2.7.1.33] 
vcn:VOLCADRAFT_61524 hypothetical protein; K02964 small subunit ribosomal protein S18e 
vcn:VOLCADRAFT_61530 CENPE type kinesin-like protein; K11498 centromeric protein E 
vcn:VOLCADRAFT_61540 hypothetical protein; K03639 molybdenum cofactor biosynthesis protein 
vcn:VOLCADRAFT_61541 hypothetical protein 
vcn:VOLCADRAFT_61585 acs3; acetyl-coa synthetase 
vcn:VOLCADRAFT_61590 hstH2B-9; histone H2B; K11252 histone H2B 
vcn:VOLCADRAFT_61592 fenB; nuclease, Rad2 family; K10746 exonuclease 1 [EC:3.1.-.-] 
vcn:VOLCADRAFT_61606 hypothetical protein; K17285 selenium-binding protein 1 
vcn:VOLCADRAFT_61608 hypothetical protein; K06966 
vcn:VOLCADRAFT_61625 hypothetical protein; K12611 mRNA-decapping enzyme 1B [EC:3.-.-.-] 
vcn:VOLCADRAFT_61631 hypothetical protein 
vcn:VOLCADRAFT_61636 hypothetical protein; K03695 ATP-dependent Clp protease ATP-binding subunit ClpB 
vcn:VOLCADRAFT_61646 hypothetical protein; K09419 heat shock transcription factor, other eukaryote 
vcn:VOLCADRAFT_61650 hypothetical protein 
vcn:VOLCADRAFT_61655 hypothetical protein; K14213 Xaa-Pro dipeptidase [EC:3.4.13.9] 
vcn:VOLCADRAFT_61661 npsn1; Qb-SNARE, NPSN-family 
vcn:VOLCADRAFT_61695 hypothetical protein; K03009 DNA-directed RNA polymerases I, II, and III subunit RPABC4 
vcn:VOLCADRAFT_61702 apg7; ubiquitin activating E1 enzyme-like protein; K08337 ubiquitin-like modifier-activating enzyme  
vcn:VOLCADRAFT_61738 hypothetical protein 
vcn:VOLCADRAFT_61744 hypothetical protein; K13119 protein FAM50 
vcn:VOLCADRAFT_61745 hypothetical protein; K07739 elongator complex protein 3 [EC:2.3.1.48] 
vcn:VOLCADRAFT_61755 hypothetical protein; K15544 RNA polymerase II subunit A C-terminal domain phosphatase SSU72 [EC:3.1 
vcn:VOLCADRAFT_61756 hypothetical protein 
vcn:VOLCADRAFT_61760 hypothetical protein 
vcn:VOLCADRAFT_61773 hypothetical protein 
vcn:VOLCADRAFT_61777 hypothetical protein; K12310 Di-N-acetylchitobiase [EC:3.2.1.-] 
vcn:VOLCADRAFT_61780 hypothetical protein 
vcn:VOLCADRAFT_61790 hypothetical protein; K08825 dual-specificity tyrosine-(Y)-phosphorylation regulated kinase [EC:2.7. 
vcn:VOLCADRAFT_61805 hypothetical protein; K10858 DNA mismatch repair protein PMS2 
vcn:VOLCADRAFT_61815 hypothetical protein 
vcn:VOLCADRAFT_61822 hypothetical protein 
vcn:VOLCADRAFT_61843 hypothetical protein; K12872 pre-mRNA-splicing factor RBM22/SLT11 
vcn:VOLCADRAFT_61847 hypothetical protein 
vcn:VOLCADRAFT_61851 hypothetical protein; K06693 26S proteasome non-ATPase regulatory subunit 9 
vcn:VOLCADRAFT_61856 hypothetical protein; K10858 DNA mismatch repair protein PMS2 
vcn:VOLCADRAFT_61858 hypothetical protein; K12402 AP-4 complex subunit mu-1 
vcn:VOLCADRAFT_61911 hypothetical protein 
vcn:VOLCADRAFT_61913 arf7; small Arf-related GTPase; K07952 ADP-ribosylation factor related protein 1 
vcn:VOLCADRAFT_61926 hypothetical protein; K09699 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase 
vcn:VOLCADRAFT_61927 cyc34; guanylyl and adenylyl cyclase family member 
vcn:VOLCADRAFT_61948 hypothetical protein 
vcn:VOLCADRAFT_61961 cyc28; guanylyl and adenylyl cyclase family member 
vcn:VOLCADRAFT_61971 vmp6; metalloproteinase, extracellular matrix glycoprotein VMP6 
vcn:VOLCADRAFT_61972 hypothetical protein 
vcn:VOLCADRAFT_61999 pus6; pseudouridine synthase 
vcn:VOLCADRAFT_62003 hypothetical protein; K03848 alpha-1,3-glucosyltransferase [EC:2.4.1.267] 
vcn:VOLCADRAFT_62022 hypothetical protein 
vcn:VOLCADRAFT_62034 apx2; L-ascorbate peroxidase; K00434 L-ascorbate peroxidase [EC:1.11.1.11] 
vcn:VOLCADRAFT_62042 fum2; fumarate hydratase; K01679 fumarate hydratase, class II [EC:4.2.1.2] 
vcn:VOLCADRAFT_62055 hypothetical protein 
vcn:VOLCADRAFT_62070 dnj7; molecular chaperone; K09510 DnaJ homolog subfamily B member 4 
vcn:VOLCADRAFT_62105 apg6; autophagy protein; K08334 beclin 1 
vcn:VOLCADRAFT_62121 myb3; transcription factor Myb3 
vcn:VOLCADRAFT_62179 hypothetical protein 
vcn:VOLCADRAFT_62183 hypothetical protein 
vcn:VOLCADRAFT_62202 hypothetical protein 
vcn:VOLCADRAFT_62226 hypothetical protein; K01613 phosphatidylserine decarboxylase [EC:4.1.1.65] 
vcn:VOLCADRAFT_62228 hypothetical protein 
vcn:VOLCADRAFT_62249 hypothetical protein; K15264 putative methyltransferase [EC:2.1.1.-] 
vcn:VOLCADRAFT_62257 hypothetical protein 
vcn:VOLCADRAFT_62264 hypothetical protein; K15113 solute carrier family 25 (mitochondrial iron transporter), member 28/37 
vcn:VOLCADRAFT_62293 hypothetical protein 
vcn:VOLCADRAFT_62298 hypothetical protein 
vcn:VOLCADRAFT_62308 cax5; Ca2+/H+ antiporter, cation antiporter, membrane protein; K07300 Ca2+:H+ antiporter 
vcn:VOLCADRAFT_62315 hypothetical protein 
vcn:VOLCADRAFT_62320 hypothetical protein 
vcn:VOLCADRAFT_62332 hypothetical protein; K15115 solute carrier family 25 (mitochondrial folate transporter), member 32 
vcn:VOLCADRAFT_62343 ssa18; hypothetical protein; K14590 FtsJ methyltransferase domain-containing protein 1 [EC:2.1.1.-] 
vcn:VOLCADRAFT_62351 hypothetical protein 
vcn:VOLCADRAFT_62382 hypothetical protein; K15305 vacuole morphology and inheritance protein 14 
vcn:VOLCADRAFT_62386 hypothetical protein 
vcn:VOLCADRAFT_62392 hypothetical protein 
vcn:VOLCADRAFT_62408 hypothetical protein 
vcn:VOLCADRAFT_62433 flagellar inner arm dynein 1 heavy chain beta; K10408 dynein heavy chain, axonemal 
vcn:VOLCADRAFT_62437 hypothetical protein 
vcn:VOLCADRAFT_62449 hypothetical protein 
vcn:VOLCADRAFT_62457 hypothetical protein; K12855 pre-mRNA-processing factor 6 
vcn:VOLCADRAFT_62471 dynein heavy chain 5 
vcn:VOLCADRAFT_62474 hypothetical protein 
vcn:VOLCADRAFT_62482 hypothetical protein; K14648 poly(U)-specific endoribonuclease [EC:3.1.-.-] 
vcn:VOLCADRAFT_62484 dynein heavy chain 5 
vcn:VOLCADRAFT_62493 hypothetical protein; K01304 pyroglutamyl-peptidase [EC:3.4.19.3] 
vcn:VOLCADRAFT_62507 hypothetical protein 
vcn:VOLCADRAFT_62523 hypothetical protein 
vcn:VOLCADRAFT_62543 hypothetical protein; K02732 20S proteasome subunit beta 6 [EC:3.4.25.1] 
vcn:VOLCADRAFT_62572 hypothetical protein 
vcn:VOLCADRAFT_62591 hypothetical protein 
vcn:VOLCADRAFT_62601 hypothetical protein 
vcn:VOLCADRAFT_62611 mob1; cytokinesis-related protein; K06685 MOB kinase activator 1 
vcn:VOLCADRAFT_62618 hypothetical protein; K04567 lysyl-tRNA synthetase, class II [EC:6.1.1.6] 
vcn:VOLCADRAFT_62621 hypothetical protein; K04649 ubiquitin-conjugating enzyme (huntingtin interacting protein 2) [EC:6.3 
vcn:VOLCADRAFT_62634 pde11; 3'5'-cyclic nucleotide phosphodiesterase 
vcn:VOLCADRAFT_62637 Kif17 kinesin 
vcn:VOLCADRAFT_62639 hypothetical protein 
vcn:VOLCADRAFT_62641 hypothetical protein; K07095 
vcn:VOLCADRAFT_62647 hypothetical protein; K15430 tRNA (guanine10-N2)-methyltransferase [EC:2.1.1.214] 
vcn:VOLCADRAFT_62668 hypothetical protein 
vcn:VOLCADRAFT_62675 hypothetical protein; K00863 dihydroxyacetone kinase [EC:2.7.1.29] 
vcn:VOLCADRAFT_62695 hypothetical protein; K13412 calcium-dependent protein kinase [EC:2.7.11.1] 
vcn:VOLCADRAFT_62763 myb13; transcription factor Myb13 
vcn:VOLCADRAFT_62773 4-hydroxyphenylpyruvate dioxygenase; K00457 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27] 
vcn:VOLCADRAFT_62777 hypothetical protein; K14569 ribosome biogenesis protein BMS1 
vcn:VOLCADRAFT_62788 hypothetical protein 
vcn:VOLCADRAFT_62795 hypothetical protein 
vcn:VOLCADRAFT_62797 hypothetical protein 
vcn:VOLCADRAFT_62803 glgb4; 1,4-alpha-glucan branching enzyme II; K00700 1,4-alpha-glucan branching enzyme [EC:2.4.1.18] 
vcn:VOLCADRAFT_62813 cnk5; NimA-related protein kinase 5; K08857 NIMA (never in mitosis gene a)-related kinase [EC:2.7.11 
vcn:VOLCADRAFT_62820 prolyl 4-hydroxylase; K00472 prolyl 4-hydroxylase [EC:1.14.11.2] 
vcn:VOLCADRAFT_62827 hypothetical protein 
vcn:VOLCADRAFT_62828 cyc23; guanylyl and adenylyl cyclase family member 
vcn:VOLCADRAFT_62830 hypothetical protein; K11314 transcriptional adapter 2-alpha 
vcn:VOLCADRAFT_62837 deg1A; trypsin family 
vcn:VOLCADRAFT_62839 Rab28-like protein 
vcn:VOLCADRAFT_62848 cct3; chaperonin complex component; K09495 T-complex protein 1 subunit gamma 
vcn:VOLCADRAFT_62857 hypothetical protein; K12602 WD repeat-containing protein 61 
vcn:VOLCADRAFT_62867 hypothetical protein; K01495 GTP cyclohydrolase I [EC:3.5.4.16] 
vcn:VOLCADRAFT_62890 hypothetical protein; K04083 molecular chaperone Hsp33 
vcn:VOLCADRAFT_62902 hypothetical protein 
vcn:VOLCADRAFT_62920 hypothetical protein 
vcn:VOLCADRAFT_62922 hypothetical protein 
vcn:VOLCADRAFT_62941 hypothetical protein; K13124 mitogen-activated protein kinase organizer 1 
vcn:VOLCADRAFT_62944 hypothetical protein; K10398 kinesin family member 11 
vcn:VOLCADRAFT_62957 mrpS9; mitochondrial ribosomal protein S9 
vcn:VOLCADRAFT_62960 hypothetical protein; K10845 TFIIH basal transcription factor complex TTD-A subunit 
vcn:VOLCADRAFT_62995 hypothetical protein; K06067 histone deacetylase 1/2 [EC:3.5.1.98] 
vcn:VOLCADRAFT_63009 hypothetical protein; K12184 ESCRT-I complex subunit VPS28 
vcn:VOLCADRAFT_63021 dnj41; molecular chaperone 
vcn:VOLCADRAFT_63029 hypothetical protein 
vcn:VOLCADRAFT_63034 hypothetical protein; K01581 ornithine decarboxylase [EC:4.1.1.17] 
vcn:VOLCADRAFT_63040 hypothetical protein; K17871 NADH:ubiquinone reductase (non-electrogenic) [EC:1.6.5.9] 
vcn:VOLCADRAFT_63044 hypothetical protein 
vcn:VOLCADRAFT_63045 cyc27; guanylyl and adenylyl cyclase family member 
vcn:VOLCADRAFT_63067 hstH3-6; histone H3; K11253 histone H3 
vcn:VOLCADRAFT_63082 hypothetical protein 
vcn:VOLCADRAFT_63096 cyc18; guanylyl and adenylyl cyclase family member 
vcn:VOLCADRAFT_63119 hypothetical protein 
vcn:VOLCADRAFT_63129 hypothetical protein 
vcn:VOLCADRAFT_63144 adk5; adenylate kinase; K00939 adenylate kinase [EC:2.7.4.3] 
vcn:VOLCADRAFT_63158 hypothetical protein; K14787 multiple RNA-binding domain-containing protein 1 
vcn:VOLCADRAFT_63165 hstH4-6; histone H4; K11254 histone H4 
vcn:VOLCADRAFT_63171 hypothetical protein 
vcn:VOLCADRAFT_63186 hypothetical protein 
vcn:VOLCADRAFT_63197 hstH3-7; histone H3; K11253 histone H3 
vcn:VOLCADRAFT_63198 mrpS19; mitochondrial ribosomal protein S19 
vcn:VOLCADRAFT_63199 hypothetical protein 
vcn:VOLCADRAFT_63227 adk6; adenylate kinase; K00939 adenylate kinase [EC:2.7.4.3] 
vcn:VOLCADRAFT_63265 hypothetical protein 
